time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,rollout/success_rate,train/ent_coef,train/n_updates,time/total_timesteps,time/fps,train/ent_coef_loss,time/episodes
269,97.34375,-97.28125,0.3261218615807593,0.0001,-4.323321007192135,0.0625,0.9968459429219365,64,3200,11,-0.015962049252266297,4
269,97.34375,-97.28125,,,,0.0625,,,3200,11,,8
269,97.34375,-97.28125,,,,0.0625,,,3200,11,,12
269,97.34375,-97.28125,,,,0.0625,,,3200,11,,16
269,97.34375,-97.28125,,,,0.0625,,,3200,11,,20
269,97.34375,-97.28125,,,,0.0625,,,3200,11,,24
269,97.34375,-97.28125,,,,0.0625,,,3200,11,,28
269,97.34375,-97.28125,,,,0.0625,,,3200,11,,32
762,98.671875,-98.640625,0.2362858756678179,0.0001,-10.153707772493362,0.03125,0.9841466369107366,192,6400,8,-0.08072652167174965,36
762,98.671875,-98.640625,,,,0.03125,,,6400,8,,40
762,98.671875,-98.640625,,,,0.03125,,,6400,8,,44
762,98.671875,-98.640625,,,,0.03125,,,6400,8,,48
762,98.671875,-98.640625,,,,0.03125,,,6400,8,,52
762,98.671875,-98.640625,,,,0.03125,,,6400,8,,56
762,98.671875,-98.640625,,,,0.03125,,,6400,8,,60
762,98.671875,-98.640625,,,,0.03125,,,6400,8,,64
1022,97.73529411764706,-97.66176470588235,0.3371999248629436,0.0001,-12.314205437898636,0.07352941176470588,0.9778640605509281,256,8960,8,-0.11306851904373616,68
1033,98.26041666666667,-98.19791666666667,,,,0.0625,,,9600,9,,72
1033,98.26041666666667,-98.19791666666667,,,,0.0625,,,9600,9,,76
1033,98.26041666666667,-98.19791666666667,,,,0.0625,,,9600,9,,80
1033,98.26041666666667,-98.19791666666667,,,,0.0625,,,9600,9,,84
1033,98.26041666666667,-98.19791666666667,,,,0.0625,,,9600,9,,88
1033,98.26041666666667,-98.19791666666667,,,,0.0625,,,9600,9,,92
1033,98.26041666666667,-98.19791666666667,,,,0.0625,,,9600,9,,96
1279,96.69,-96.6,0.20983844785951078,0.0001,-14.06564961373806,0.09,0.9716228926554322,320,11296,8,-0.14539918233640492,100
1513,97.54,-97.47,0.6000633062794805,0.0001,-16.095378771424294,0.07,0.9654226275160909,384,12384,8,-0.17768397345207632,104
1522,96.93,-96.85,,,,0.08,,,12800,8,,108
1522,96.93,-96.85,,,,0.08,,,12800,8,,112
1522,96.93,-96.85,,,,0.08,,,12800,8,,116
1522,96.93,-96.85,,,,0.08,,,12800,8,,120
1522,96.93,-96.85,,,,0.08,,,12800,8,,124
1522,96.93,-96.85,,,,0.08,,,12800,8,,128
