time/time_elapsed,time/fps,train/ent_coef,train/ent_coef_loss,time/total_timesteps,rollout/ep_len_mean,train/n_updates,rollout/success_rate,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/episodes,train/learning_rate
214,14,0.9968453049659729,-0.015965615260029153,3200,97.03125,64,0.0625,-4.3113603834062815,-96.96875,0.5339511826168746,4,0.0001
214,14,,,3200,97.03125,,0.0625,,-96.96875,,8,
214,14,,,3200,97.03125,,0.0625,,-96.96875,,12,
214,14,,,3200,97.03125,,0.0625,,-96.96875,,16,
214,14,,,3200,97.03125,,0.0625,,-96.96875,,20,
214,14,,,3200,97.03125,,0.0625,,-96.96875,,24,
214,14,,,3200,97.03125,,0.0625,,-96.96875,,28,
214,14,,,3200,97.03125,,0.0625,,-96.96875,,32,
438,14,0.9904686249792576,-0.048379675194155425,6144,95.88888888888889,128,0.08333333333333333,-7.009091831743717,-95.80555555555556,0.1253039570292458,36,0.0001
657,9,0.9841413535177708,-0.08075692527927458,6400,97.6875,192,0.046875,-9.327742800116539,-97.640625,0.16999796614982188,40,0.0001
657,9,,,6400,97.6875,,0.046875,,-97.640625,,44,
657,9,,,6400,97.6875,,0.046875,,-97.640625,,48,
657,9,,,6400,97.6875,,0.046875,,-97.640625,,52,
657,9,,,6400,97.6875,,0.046875,,-97.640625,,56,
657,9,,,6400,97.6875,,0.046875,,-97.640625,,60,
657,9,,,6400,97.6875,,0.046875,,-97.640625,,64,
913,9,0.9778579296544194,-0.11310256132856011,8768,96.8529411764706,256,0.07352941176470588,-11.731822848320007,-96.77941176470588,0.3434748101281002,68,0.0001
926,10,,,9344,96.58333333333333,,0.09722222222222222,,-96.48611111111111,,72,
932,10,,,9600,97.4375,,0.07291666666666667,,-97.36458333333333,,76,
932,10,,,9600,97.4375,,0.07291666666666667,,-97.36458333333333,,80,
932,10,,,9600,97.4375,,0.07291666666666667,,-97.36458333333333,,84,
932,10,,,9600,97.4375,,0.07291666666666667,,-97.36458333333333,,88,
932,10,,,9600,97.4375,,0.07291666666666667,,-97.36458333333333,,92,
932,10,,,9600,97.4375,,0.07291666666666667,,-97.36458333333333,,96,
1174,9,0.9716161778196692,-0.1454391898587346,11296,96.5,320,0.09,-13.549082726240158,-96.41,0.3405828713439405,100,0.0001
1187,10,,,12160,97.45,,0.07,,-97.38,,104,
1414,9,0.9654154786840081,-0.17772615212015808,12800,97.45,384,0.07,-15.496449172496796,-97.38,0.26591530977748334,108,0.0001
1414,9,,,12800,97.45,,0.07,,-97.38,,112,
1414,9,,,12800,97.45,,0.07,,-97.38,,116,
1414,9,,,12800,97.45,,0.07,,-97.38,,120,
1414,9,,,12800,97.45,,0.07,,-97.38,,124,
1414,9,,,12800,97.45,,0.07,,-97.38,,128,
1440,9,,,14016,96.5,,0.09,,-96.41,,132,
1664,8,0.9592554355040193,-0.21008736779913306,14528,96.05,448,0.1,-16.5841843187809,-95.95,0.24050882377196103,136,0.0001
1688,9,,,16000,96.05,,0.1,,-95.95,,140,
1688,9,,,16000,96.05,,0.1,,-95.95,,144,
1688,9,,,16000,96.05,,0.1,,-95.95,,148,
1688,9,,,16000,96.05,,0.1,,-95.95,,152,
1688,9,,,16000,96.05,,0.1,,-95.95,,156,
1688,9,,,16000,96.05,,0.1,,-95.95,,160,
1920,8,0.9531338280066848,-0.2424663482233882,17120,94.74,512,0.12,-17.995916783809662,-94.62,3.1024206182919443,164,0.0001
1929,9,,,17536,95.4,,0.1,,-95.3,,168,
1937,9,,,17920,95.24,,0.09,,-95.15,,172,
2174,8,0.9470509309321642,-0.2748150364495814,19200,95.24,576,0.09,-23.050406724214554,-95.15,8.126910835504532,176,0.0001
2174,8,,,19200,95.24,,0.09,,-95.15,,180,
2174,8,,,19200,95.24,,0.09,,-95.15,,184,
2174,8,,,19200,95.24,,0.09,,-95.15,,188,
2174,8,,,19200,95.24,,0.09,,-95.15,,192,
2194,9,,,20320,95.24,,0.09,,-95.15,,196,
2412,8,0.9410073664039373,-0.30709673231467605,20736,96.28,640,0.07,-20.870933264493942,-96.21,1.3789497651159763,200,0.0001
2419,8,,,20992,95.83,,0.08,,-95.75,,204,
2438,9,,,22240,95.52,,0.1,,-95.42,,208,
2441,9,,,22400,95.52,,0.1,,-95.42,,212,
2441,9,,,22400,95.52,,0.1,,-95.42,,216,
2441,9,,,22400,95.52,,0.1,,-95.42,,220,
2441,9,,,22400,95.52,,0.1,,-95.42,,224,
2676,8,0.9350036531686783,-0.3394425390288234,23520,95.52,704,0.1,-20.696662932634354,-95.42,0.6093946488108486,228,0.0001
2686,8,,,23936,96.47,,0.08,,-96.39,,232,
2692,8,,,24192,97.01,,0.07,,-96.94,,236,
2914,8,0.9290383011102676,-0.3717121984809637,24800,97.01,768,0.07,-20.3774796128273,-96.94,0.5603187025990337,240,0.0001
2928,8,,,25600,96.48,,0.08,,-96.4,,244,
2928,8,,,25600,96.48,,0.08,,-96.4,,248,
2928,8,,,25600,96.48,,0.08,,-96.4,,252,
2928,8,,,25600,96.48,,0.08,,-96.4,,256,
3159,8,0.9231104031205177,-0.40408010594546795,26720,96.48,832,0.08,-20.05080872774124,-96.4,0.4579072807682678,260,0.0001
3168,8,,,27136,97.79,,0.06,,-97.73,,264,
3173,8,,,27360,97.34,,0.07,,-97.27,,268,
3182,8,,,27776,97.5,,0.07,,-97.43,,272,
3191,8,,,28128,97.22,,0.08,,-97.14,,276,
3415,8,0.9172212034463882,-0.4363730908371508,28800,97.22,896,0.08,-19.723653107881546,-97.14,0.43782600201666355,280,0.0001
3415,8,,,28800,97.22,,0.08,,-97.14,,284,
3415,8,,,28800,97.22,,0.08,,-97.14,,288,
3433,8,,,29920,97.22,,0.08,,-97.14,,292,
3440,8,,,30304,96.68,,0.09,,-96.59,,296,
3445,8,,,30560,96.68,,0.09,,-96.59,,300,
3447,8,,,30720,97.13,,0.08,,-97.05,,304,
3668,8,0.9113692492246628,-0.46867739129811525,31200,97.44,960,0.06,-19.80047896504402,-97.38,0.6098401586059481,308,0.0001
3685,8,,,32000,97.44,,0.06,,-97.38,,312,
3685,8,,,32000,97.44,,0.06,,-97.38,,316,
3685,8,,,32000,97.44,,0.06,,-97.38,,320,
3918,8,0.9055554643273354,-0.5010286048054695,33120,97.41,1024,0.06,-19.789050370454788,-97.35,0.38489301805384457,324,0.0001
3924,8,,,33472,97.09,,0.07,,-97.02,,328,
3930,8,,,33696,97.09,,0.07,,-97.02,,332,
3932,8,,,33792,97.53,,0.06,,-97.47,,336,
3942,8,,,34400,97.53,,0.06,,-97.47,,340,
4167,8,0.8997777765616775,-0.5333682307973504,35200,98.06,1088,0.05,-19.419030606746674,-98.01,0.33904770016670227,344,0.0001
4167,8,,,35200,98.06,,0.05,,-98.01,,348,
4167,8,,,35200,98.06,,0.05,,-98.01,,352,
4187,8,,,36320,98.06,,0.05,,-98.01,,356,
4196,8,,,36672,98.06,,0.05,,-98.01,,360,
4411,8,0.8940372951328754,-0.5656295362859964,36896,98.06,1152,0.05,-19.062545150518417,-98.01,0.34292180847842246,364,0.0001
4414,8,,,36992,98.51,,0.04,,-98.47,,368,
4427,8,,,37600,98.83,,0.03,,-98.8,,372,
4439,8,,,38240,98.26,,0.04,,-98.22,,376,
4441,8,,,38400,98.26,,0.04,,-98.22,,380,
4441,8,,,38400,98.26,,0.04,,-98.22,,384,
4447,8,,,38752,97.91,,0.05,,-97.86,,388,
4671,8,0.8883341336622834,-0.5979341557249427,39520,96.83,1216,0.07,-18.729837238788605,-96.76,0.33052063488867134,392,0.0001
4678,8,,,39936,97.37,,0.06,,-97.31,,396,
4682,8,,,40160,97.37,,0.06,,-97.31,,400,
4690,8,,,40576,97.3,,0.06,,-97.24,,404,
4919,8,0.8826672583818436,-0.6303186397999525,41440,97.3,1280,0.06,-18.41043448448181,-97.24,0.31608390307519585,408,0.0001
4922,8,,,41600,97.3,,0.06,,-97.24,,412,
4922,8,,,41600,97.3,,0.06,,-97.24,,416,
