train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps
-3.2534116841852665,96.625,-96.5625,-0.01591668040418881,0.0625,0.0001,0.9968552682548761,4,0.3552166059380397,351,3200,64,9
,96.625,-96.5625,,0.0625,,,8,,351,3200,,9
,96.625,-96.5625,,0.0625,,,12,,351,3200,,9
,96.625,-96.5625,,0.0625,,,16,,351,3200,,9
,96.625,-96.5625,,0.0625,,,20,,351,3200,,9
,96.625,-96.5625,,0.0625,,,24,,351,3200,,9
,96.625,-96.5625,,0.0625,,,28,,351,3200,,9
,96.625,-96.5625,,0.0625,,,32,,351,3200,,9
-5.505821719765663,95.52777777777777,-95.44444444444444,-0.048253609566017985,0.08333333333333333,0.0001,0.990493674762547,36,0.09422657801769674,700,6080,128,8
-7.617611840367317,97.484375,-97.4375,-0.08059825806412846,0.046875,0.0001,0.9841732075437903,40,0.12560746329836547,1024,6400,192,6
,97.484375,-97.4375,,0.046875,,,44,,1024,6400,,6
,97.484375,-97.4375,,0.046875,,,48,,1024,6400,,6
,97.484375,-97.4375,,0.046875,,,52,,1024,6400,,6
,97.484375,-97.4375,,0.046875,,,56,,1024,6400,,6
,97.484375,-97.4375,,0.046875,,,60,,1024,6400,,6
,97.484375,-97.4375,,0.046875,,,64,,1024,6400,,6
,95.92647058823529,-95.8529411764706,,0.07352941176470588,,,68,,1050,7904,,7
-9.233661860227585,95.34722222222223,-95.23611111111111,-0.11291893478482962,0.1111111111111111,0.0001,0.9778938880190253,72,0.13133209373336285,1377,9280,256,6
,96.51041666666667,-96.42708333333333,,0.08333333333333333,,,76,,1383,9600,,6
,96.51041666666667,-96.42708333333333,,0.08333333333333333,,,80,,1383,9600,,6
,96.51041666666667,-96.42708333333333,,0.08333333333333333,,,84,,1383,9600,,6
,96.51041666666667,-96.42708333333333,,0.08333333333333333,,,88,,1383,9600,,6
,96.51041666666667,-96.42708333333333,,0.08333333333333333,,,92,,1383,9600,,6
,96.51041666666667,-96.42708333333333,,0.08333333333333333,,,96,,1383,9600,,6
-10.793226778507233,96.65,-96.57,-0.14524261304177344,0.08,0.0001,0.9716551201418042,100,0.14794974692631513,1707,11104,320,6
,96.27,-96.18,,0.09,,,104,,1723,11968,,6
-12.209841787815094,95.66,-95.56,-0.17751246690750122,0.1,0.0001,0.9654565528035164,108,0.1842483786167577,2030,12480,384,6
,95.62,-95.51,,0.11,,,112,,2036,12800,,6
,95.62,-95.51,,0.11,,,116,,2036,12800,,6
,95.62,-95.51,,0.11,,,120,,2036,12800,,6
,95.62,-95.51,,0.11,,,124,,2036,12800,,6
