train/ent_coef_loss,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/actor_loss,train/learning_rate,time/episodes,train/ent_coef,train/critic_loss,train/n_updates,time/fps,rollout/ep_len_mean
-0.01597311034129234,2944,-75.5,0.5,88,-4.577324956655502,0.0001,4,0.996842953376472,0.31612916220910847,64,33,76.0
,3200,-96.9375,0.0625,93,,,8,,,,34,97.0
,3200,-96.9375,0.0625,93,,,12,,,,34,97.0
,3200,-96.9375,0.0625,93,,,16,,,,34,97.0
,3200,-96.9375,0.0625,93,,,20,,,,34,97.0
,3200,-96.9375,0.0625,93,,,24,,,,34,97.0
,3200,-96.9375,0.0625,93,,,28,,,,34,97.0
,3200,-96.9375,0.0625,93,,,32,,,,34,97.0
-0.04841104947263375,6144,-97.27777777777777,0.05555555555555555,188,-6.898504294455051,0.0001,36,0.9904615236446261,0.12538724637124687,128,32,97.33333333333333
-0.0807992914924398,6400,-98.46875,0.03125,236,-8.943027846515179,0.0001,40,0.9841318326070905,0.16045675706118345,192,27,98.5
,6400,-98.46875,0.03125,236,,,44,,,,27,98.5
,6400,-98.46875,0.03125,236,,,48,,,,27,98.5
,6400,-98.46875,0.03125,236,,,52,,,,27,98.5
,6400,-98.46875,0.03125,236,,,56,,,,27,98.5
,6400,-98.46875,0.03125,236,,,60,,,,27,98.5
,6400,-98.46875,0.03125,236,,,64,,,,27,98.5
-0.11315241712145507,8768,-96.80882352941177,0.07352941176470588,321,-10.700367614626884,0.0001,68,0.9778468888252974,0.1623593863332644,256,27,96.88235294117646
,9344,-96.70833333333333,0.08333333333333333,331,,,72,,,,28,96.79166666666667
,9600,-97.53125,0.0625,336,,,76,,,,28,97.59375
,9600,-97.53125,0.0625,336,,,80,,,,28,97.59375
,9600,-97.53125,0.0625,336,,,84,,,,28,97.59375
,9600,-97.53125,0.0625,336,,,88,,,,28,97.59375
,9600,-97.53125,0.0625,336,,,92,,,,28,97.59375
,9600,-97.53125,0.0625,336,,,96,,,,28,97.59375
-0.14549858891405165,11104,-96.73,0.08,406,-12.148362159729004,0.0001,100,0.971603904850781,0.19835330685600638,320,27,96.81
-0.17778694909065962,12352,-97.23,0.07,472,-13.416358157992363,0.0001,104,0.9654022129252553,0.28262154338881373,384,26,97.3
,12800,-97.23,0.07,482,,,108,,,,26,97.3
,12800,-97.23,0.07,482,,,112,,,,26,97.3
,12800,-97.23,0.07,482,,,116,,,,26,97.3
,12800,-97.23,0.07,482,,,120,,,,26,97.3
,12800,-97.23,0.07,482,,,124,,,,26,97.3
,12800,-97.23,0.07,482,,,128,,,,26,97.3
,14144,-96.24,0.09,503,,,132,,,,28,96.33
-0.2101523159071803,15104,-96.24,0.09,564,-14.391383916139603,0.0001,136,0.9592414200305939,0.24186978151556104,448,26,96.33
,15744,-95.56,0.1,575,,,140,,,,27,95.66
,16000,-95.13,0.11,581,,,144,,,,27,95.24
,16000,-95.13,0.11,581,,,148,,,,27,95.24
,16000,-95.13,0.11,581,,,152,,,,27,95.24
,16000,-95.13,0.11,581,,,156,,,,27,95.24
,16000,-95.13,0.11,581,,,160,,,,27,95.24
-0.2425284816417843,17120,-94.44,0.12,642,-15.110092088580132,0.0001,164,0.9531192956492305,0.2680564959300682,512,26,94.56
,17504,-95.09,0.1,650,,,168,,,,26,95.19
,18400,-94.84,0.1,664,,,172,,,,27,94.94
-0.27488984167575836,19072,-94.84,0.1,721,-15.627369314432144,0.0001,176,0.9470359226688743,0.288259461754933,576,26,94.94
,19200,-94.84,0.1,723,,,180,,,,26,94.94
,19200,-94.84,0.1,723,,,184,,,,26,94.94
,19200,-94.84,0.1,723,,,188,,,,26,94.94
,19200,-94.84,0.1,723,,,192,,,,26,94.94
,20320,-94.84,0.1,742,,,196,,,,27,94.94
-0.30718027241528034,20704,-95.74,0.08,793,-16.14394737780094,0.0001,200,0.9409918189048767,0.2740003294311464,640,26,95.82
,21376,-95.43,0.09,805,,,204,,,,26,95.52
,22016,-95.43,0.09,817,,,208,,,,26,95.52
,22400,-95.43,0.09,823,,,212,,,,27,95.52
,22400,-95.43,0.09,823,,,216,,,,27,95.52
