train/critic_loss,train/actor_loss,rollout/success_rate,train/ent_coef_loss,train/n_updates,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/fps
0.23339017119724303,-4.456777825951576,0.03125,-0.01595276742864371,64,121,-97.75,4,0.0001,97.78125,3200,0.9968469198793173,26
,,0.03125,,,121,-97.75,8,,97.78125,3200,,26
,,0.03125,,,121,-97.75,12,,97.78125,3200,,26
,,0.03125,,,121,-97.75,16,,97.78125,3200,,26
,,0.03125,,,121,-97.75,20,,97.78125,3200,,26
,,0.03125,,,121,-97.75,24,,97.78125,3200,,26
,,0.03125,,,121,-97.75,28,,97.78125,3200,,26
,,0.03125,,,121,-97.75,32,,97.78125,3200,,26
0.16985788277816027,-8.834460400044918,0.03125,-0.08073556108865887,192,296,-98.03125,36,0.0001,98.0625,6400,0.984144332818687,21
,,0.03125,,,296,-98.03125,40,,98.0625,6400,,21
,,0.03125,,,296,-98.03125,44,,98.0625,6400,,21
,,0.03125,,,296,-98.03125,48,,98.0625,6400,,21
,,0.03125,,,296,-98.03125,52,,98.0625,6400,,21
,,0.03125,,,296,-98.03125,56,,98.0625,6400,,21
,,0.03125,,,296,-98.03125,60,,98.0625,6400,,21
,,0.03125,,,296,-98.03125,64,,98.0625,6400,,21
0.13213611114770174,-10.577648490667343,0.058823529411764705,-0.11308129190001637,256,394,-96.58823529411765,68,0.0001,96.6470588235294,8256,0.9778607944026589,20
,,0.09722222222222222,,,413,-95.72222222222223,72,,95.81944444444444,9312,,22
,,0.07291666666666667,,,418,-96.79166666666667,76,,96.86458333333333,9600,,22
,,0.07291666666666667,,,418,-96.79166666666667,80,,96.86458333333333,9600,,22
,,0.07291666666666667,,,418,-96.79166666666667,84,,96.86458333333333,9600,,22
,,0.07291666666666667,,,418,-96.79166666666667,88,,96.86458333333333,9600,,22
,,0.07291666666666667,,,418,-96.79166666666667,92,,96.86458333333333,9600,,22
,,0.07291666666666667,,,418,-96.79166666666667,96,,96.86458333333333,9600,,22
0.19849161559250206,-12.062615051865578,0.08,-0.14542160765267909,320,510,-96.56,100,0.0001,96.64,11104,0.9716188246384263,21
,,0.09,,,526,-96.17,104,,96.26,11904,,22
0.21598385367542505,-13.251249939203262,0.09,-0.177707742433995,384,611,-96.17,108,0.0001,96.26,12800,0.965417880564928,20
,,0.09,,,611,-96.17,112,,96.26,12800,,20
,,0.09,,,611,-96.17,116,,96.26,12800,,20
,,0.09,,,611,-96.17,120,,96.26,12800,,20
,,0.09,,,611,-96.17,124,,96.26,12800,,20
,,0.09,,,611,-96.17,128,,96.26,12800,,20
,,0.1,,,629,-95.77,132,,95.87,14016,,22
0.24413567618466914,-14.262897327542305,0.1,-0.21006928500719368,448,707,-95.72,136,0.0001,95.82,14496,0.9592576520517468,20
,,0.12,,,717,-94.47,140,,94.59,15104,,21
,,0.14,,,731,-93.36,144,,93.5,16000,,21
,,0.14,,,731,-93.36,148,,93.5,16000,,21
,,0.14,,,731,-93.36,152,,93.5,16000,,21
,,0.14,,,731,-93.36,156,,93.5,16000,,21
,,0.14,,,731,-93.36,160,,93.5,16000,,21
0.3151078512892127,-15.030135348439217,0.15,-0.24244764330796897,512,803,-92.67,164,0.0001,92.82,17024,0.9531358554959297,21
,,0.13,,,812,-93.48,168,,93.61,17504,,21
,,0.12,,,817,-93.46,172,,93.58,17792,,21
,,0.12,,,828,-93.46,176,,93.58,18400,,22
0.3152228739345446,-15.645148798823357,0.12,-0.27479784516617656,576,912,-93.46,180,0.0001,93.58,19200,0.947052831761539,21
,,0.12,,,912,-93.46,184,,93.58,19200,,21
,,0.12,,,912,-93.46,188,,93.58,19200,,21
,,0.12,,,912,-93.46,192,,93.58,19200,,21
,,0.12,,,928,-93.46,196,,93.58,20224,,21
0.32138862181454897,-16.079996302723885,0.1,-0.3070824961178005,640,1002,-94.45,200,0.0001,94.55,20704,0.941009134054184,20
,,0.09,,,1008,-94.89,204,,94.98,20928,,20
,,0.1,,,1021,-94.55,208,,94.65,21504,,21
,,0.11,,,1034,-94.49,212,,94.6,22272,,21
,,0.12,,,1037,-94.0,216,,94.12,22400,,21
,,0.12,,,1037,-94.0,220,,94.12,22400,,21
,,0.12,,,1037,-94.0,224,,94.12,22400,,21
,,0.12,,,1037,-94.0,228,,94.12,22400,,21
0.34836742433253676,-16.400290966033936,0.12,-0.33943520626053214,704,1128,-93.89,232,0.0001,94.01,23616,0.9350051684305072,20
,,0.11,,,1136,-94.48,236,,94.59,24096,,21
,,0.11,,,1143,-95.2,240,,95.31,24416,,21
0.423851698404178,-16.786124050617218,0.1,-0.37169907381758094,768,1218,-95.63,244,0.0001,95.73,24800,0.9290396617725492,20
,,0.11,,,1230,-95.09,248,,95.2,25472,,20
,,0.11,,,1233,-95.09,252,,95.2,25600,,20
,,0.11,,,1233,-95.09,256,,95.2,25600,,20
,,0.11,,,1233,-95.09,260,,95.2,25600,,20
0.35432206478435546,-17.204905062913895,0.1,-0.4040681221522391,832,1314,-95.78,264,0.0001,95.88,26816,0.9231116650626063,20
,,0.1,,,1322,-95.78,268,,95.88,27296,,20
,,0.09,,,1326,-96.34,272,,96.43,27520,,20
,,0.1,,,1331,-96.01,276,,96.11,27776,,20
,,0.11,,,1337,-95.72,280,,95.83,28128,,21
0.33903232449665666,-17.36545267701149,0.11,-0.43638634448871017,896,1417,-95.72,284,0.0001,95.83,28768,0.9172221906483173,20
,,0.11,,,1418,-95.72,288,,95.83,28800,,20
,,0.11,,,1418,-95.72,292,,95.83,28800,,20
,,0.12,,,1436,-95.26,296,,95.38,29920,,20
,,0.12,,,1445,-95.26,300,,95.38,30400,,21
,,0.12,,,1448,-95.3,304,,95.42,30592,,21
0.3426154871704057,-17.45375496149063,0.11,-0.46869883639737964,960,1515,-95.64,308,0.0001,95.75,30944,0.9113698350265622,20
,,0.1,,,1523,-95.7,312,,95.8,31328,,20
,,0.09,,,1535,-96.19,316,,96.28,31968,,20
,,0.09,,,1536,-96.19,320,,96.28,32000,,20
,,0.09,,,1536,-96.19,324,,96.28,32000,,20
,,0.11,,,1538,-94.9,328,,95.01,32128,,20
0.32412055926397443,-17.482996881008148,0.11,-0.5010316749103367,1024,1629,-94.88,332,0.0001,94.99,33408,0.9055557353422046,20
,,0.11,,,1634,-94.88,336,,94.99,33696,,20
,,0.1,,,1636,-95.28,340,,95.38,33824,,20
,,0.09,,,1643,-95.66,344,,95.75,34176,,20
0.338786420179531,-17.472178995609283,0.08,-0.5333781782537699,1088,1726,-96.2,348,0.0001,96.28,35040,0.8997778035700321,20
,,0.08,,,1730,-96.2,352,,96.28,35200,,20
,,0.08,,,1730,-96.2,356,,96.28,35200,,20
,,0.09,,,1732,-95.77,360,,95.86,35328,,20
,,0.11,,,1745,-94.96,364,,95.07,36064,,20
,,0.11,,,1758,-94.96,368,,95.07,36704,,20
0.3793034360278398,-17.40090721845627,0.1,-0.5656403852626681,1152,1827,-95.43,372,0.0001,95.53,36992,0.8940371545031667,20
,,0.09,,,1835,-95.76,376,,95.85,37376,,20
,,0.08,,,1851,-96.05,380,,96.13,38240,,20
,,0.08,,,1853,-96.05,384,,96.13,38400,,20
,,0.08,,,1853,-96.05,388,,96.13,38400,,20
,,0.08,,,1856,-96.05,392,,96.13,38528,,20
0.32943480310495943,-17.341096192598343,0.08,-0.5979528203606606,1216,1938,-95.95,396,0.0001,96.03,39168,0.8883337983861566,20
,,0.08,,,1950,-95.95,400,,96.03,39904,,20
,,0.08,,,1954,-95.95,404,,96.03,40128,,20
,,0.08,,,1962,-95.95,408,,96.03,40576,,20
0.36095802346244454,-17.26956957578659,0.08,-0.6303478991612792,1280,2029,-95.87,412,0.0001,95.95,41344,0.8826667787507176,20
,,0.08,,,2034,-95.87,416,,95.95,41600,,20
,,0.08,,,2034,-95.87,420,,95.95,41600,,20
,,0.08,,,2037,-95.87,424,,95.95,41728,,20
,,0.07,,,2046,-96.65,428,,96.72,42272,,20
,,0.06,,,2054,-97.18,432,,97.24,42816,,20
0.33540219627320766,-17.239538967609406,0.07,-0.6625658664852381,1344,2130,-96.73,436,0.0001,96.8,43200,0.8770356494933367,20
,,0.06,,,2139,-97.16,440,,97.22,43616,,20
,,0.06,,,2152,-97.08,444,,97.14,44512,,20
,,0.06,,,2157,-97.08,448,,97.14,44800,,20
,,0.06,,,2157,-97.08,452,,97.14,44800,,20
