time/episodes,rollout/ep_len_mean,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/success_rate,train/n_updates
4,68.25,0.9968438241630793,0.3205151774454862,2816,90,-4.588871534913778,-0.015968452662491472,-67.5,30,0.0001,0.75,64
8,95.78125,,,3200,98,,,-95.6875,32,,0.09375,
12,95.78125,,,3200,98,,,-95.6875,32,,0.09375,
16,95.78125,,,3200,98,,,-95.6875,32,,0.09375,
20,95.78125,,,3200,98,,,-95.6875,32,,0.09375,
24,95.78125,,,3200,98,,,-95.6875,32,,0.09375,
28,95.78125,,,3200,98,,,-95.6875,32,,0.09375,
32,95.78125,,,3200,98,,,-95.6875,32,,0.09375,
36,94.77777777777777,0.9904642887413502,0.13261581200640649,5952,186,-6.929248213768005,-0.048396358150057495,-94.66666666666667,31,0.0001,0.1111111111111111,128
40,97.0625,0.9841351788491011,0.17214485409203917,6400,231,-8.894215986132622,-0.08078507496975362,-97.0,27,0.0001,0.0625,192
44,97.0625,,,6400,231,,,-97.0,27,,0.0625,
48,97.0625,,,6400,231,,,-97.0,27,,0.0625,
52,97.0625,,,6400,231,,,-97.0,27,,0.0625,
56,97.0625,,,6400,231,,,-97.0,27,,0.0625,
60,97.0625,,,6400,231,,,-97.0,27,,0.0625,
64,97.0625,,,6400,231,,,-97.0,27,,0.0625,
68,95.70588235294117,0.9778504595160484,0.1888860526960343,8256,302,-10.650376483798027,-0.11313518858514726,-95.61764705882354,27,0.0001,0.08823529411764706,256
72,95.29166666666667,,,9152,320,,,-95.18055555555556,28,,0.1111111111111111,
76,96.46875,,,9600,329,,,-96.38541666666667,29,,0.08333333333333333,
80,96.46875,,,9600,329,,,-96.38541666666667,29,,0.08333333333333333,
84,96.46875,,,9600,329,,,-96.38541666666667,29,,0.08333333333333333,
88,96.46875,,,9600,329,,,-96.38541666666667,29,,0.08333333333333333,
92,96.46875,,,9600,329,,,-96.38541666666667,29,,0.08333333333333333,
96,96.46875,,,9600,329,,,-96.38541666666667,29,,0.08333333333333333,
100,96.26,0.9716078191995621,0.2357091810554266,11104,394,-12.121486589312553,-0.14547927398234606,-96.17,28,0.0001,0.09,320
104,97.06,,,11904,410,,,-96.99,28,,0.07,
108,97.14,0.9654063247144222,0.25291235581971705,12800,463,-13.335595548152924,-0.17776568490080535,-97.07,27,0.0001,0.07,384
112,97.14,,,12800,463,,,-97.07,27,,0.07,
116,97.14,,,12800,463,,,-97.07,27,,0.07,
120,97.14,,,12800,463,,,-97.07,27,,0.07,
124,97.14,,,12800,463,,,-97.07,27,,0.07,
128,97.14,,,12800,463,,,-97.07,27,,0.07,
132,96.11,,,14016,487,,,-96.02,28,,0.09,
136,96.06,0.9592457395046949,0.2977650451939553,14656,536,-14.269192636013031,-0.21013180678710341,-95.97,27,0.0001,0.09,448
140,95.39,,,15552,554,,,-95.29,28,,0.1,
144,94.97,,,16000,564,,,-94.86,28,,0.11,
148,94.97,,,16000,564,,,-94.86,28,,0.11,
152,94.97,,,16000,564,,,-94.86,28,,0.11,
156,94.97,,,16000,564,,,-94.86,28,,0.11,
160,94.97,,,16000,564,,,-94.86,28,,0.11,
164,94.29,0.953123714774847,0.28020316280890256,17024,618,-15.116359174251556,-0.2425090349279344,-94.17,27,0.0001,0.12,512
168,94.8,,,17504,628,,,-94.69,27,,0.11,
172,94.36,,,17856,636,,,-94.25,28,,0.11,
176,94.36,0.9470403818413615,0.34980962600093335,18752,689,-15.777071848511696,-0.27486878726631403,-94.25,27,0.0001,0.11,576
180,94.36,,,19200,699,,,-94.25,27,,0.11,
184,94.36,,,19200,699,,,-94.25,27,,0.11,
188,94.36,,,19200,699,,,-94.25,27,,0.11,
192,94.36,,,19200,699,,,-94.25,27,,0.11,
196,94.36,,,20224,719,,,-94.25,28,,0.11,
200,95.18,0.9409963618963957,0.3838584275217727,20704,765,-16.22316810488701,-0.3071546060964465,-95.09,27,0.0001,0.09,640
204,95.14,,,20992,771,,,-95.05,27,,0.09,
208,94.81,,,21600,783,,,-94.71,27,,0.1,
212,94.2,,,22144,794,,,-94.09,27,,0.11,
216,94.2,,,22400,800,,,-94.09,27,,0.11,
220,94.2,,,22400,800,,,-94.09,27,,0.11,
224,94.2,,,22400,800,,,-94.09,27,,0.11,
228,93.7,,,22528,802,,,-93.58,28,,0.12,
232,94.73,0.9349922351539135,0.35108020657207817,23616,859,-16.581313401460648,-0.33950460283085704,-94.63,27,0.0001,0.1,704
