train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/actor_loss,time/episodes,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean
0.9968528933823109,64,0.3692677770741284,0.0001,-0.015926663328173163,-97.71875,28,3200,-3.204192616045475,4,0.03125,113,97.75
,,,,,-97.71875,28,3200,,8,0.03125,113,97.75
,,,,,-97.71875,28,3200,,12,0.03125,113,97.75
,,,,,-97.71875,28,3200,,16,0.03125,113,97.75
,,,,,-97.71875,28,3200,,20,0.03125,113,97.75
,,,,,-97.71875,28,3200,,24,0.03125,113,97.75
,,,,,-97.71875,28,3200,,28,0.03125,113,97.75
,,,,,-97.71875,28,3200,,32,0.03125,113,97.75
0.9841640060767531,192,0.11092078383080661,0.0001,-0.08064306853339076,-98.03125,21,6400,-7.499446861445904,36,0.03125,298,98.0625
,,,,,-98.03125,21,6400,,40,0.03125,298,98.0625
,,,,,-98.03125,21,6400,,44,0.03125,298,98.0625
,,,,,-98.03125,21,6400,,48,0.03125,298,98.0625
,,,,,-98.03125,21,6400,,52,0.03125,298,98.0625
,,,,,-98.03125,21,6400,,56,0.03125,298,98.0625
,,,,,-98.03125,21,6400,,60,0.03125,298,98.0625
,,,,,-98.03125,21,6400,,64,0.03125,298,98.0625
0.9778833175078034,256,0.10259844816755503,0.0001,-0.11297132447361946,-96.6029411764706,20,8288,-9.046089619398117,68,0.058823529411764705,396,96.66176470588235
,,,,,-97.23958333333333,22,9600,,72,0.0625,420,97.30208333333333
,,,,,-97.23958333333333,22,9600,,76,0.0625,420,97.30208333333333
,,,,,-97.23958333333333,22,9600,,80,0.0625,420,97.30208333333333
,,,,,-97.23958333333333,22,9600,,84,0.0625,420,97.30208333333333
,,,,,-97.23958333333333,22,9600,,88,0.0625,420,97.30208333333333
,,,,,-97.23958333333333,22,9600,,92,0.0625,420,97.30208333333333
,,,,,-97.23958333333333,22,9600,,96,0.0625,420,97.30208333333333
0.9716435531154275,320,0.1407820580061525,0.0001,-0.14530048449523747,-96.77,21,11136,-10.747976779937744,100,0.07,510,96.84
0.9654443087056279,384,0.17750945105217397,0.0001,-0.17756908852607012,-97.02,20,12480,-12.172089159488678,104,0.07,600,97.09
,,,,,-97.02,21,12800,,108,0.07,605,97.09
,,,,,-97.02,21,12800,,112,0.07,605,97.09
,,,,,-97.02,21,12800,,116,0.07,605,97.09
,,,,,-97.02,21,12800,,120,0.07,605,97.09
,,,,,-97.02,21,12800,,124,0.07,605,97.09
,,,,,-97.02,21,12800,,128,0.07,605,97.09
,,,,,-96.48,22,14016,,132,0.08,625,96.56
0.9592856271192431,448,0.18524752533994615,0.0001,-0.20992202498018742,-95.96,20,14528,-13.350261360406876,136,0.09,699,96.05
,,,,,-95.51,22,16000,,140,0.1,725,95.61
,,,,,-95.51,22,16000,,144,0.1,725,95.61
,,,,,-95.51,22,16000,,148,0.1,725,95.61
,,,,,-95.51,22,16000,,152,0.1,725,95.61
,,,,,-95.51,22,16000,,156,0.1,725,95.61
,,,,,-95.51,22,16000,,160,0.1,725,95.61
0.9531649872660637,512,0.19730189023539424,0.0001,-0.242298336699605,-94.82,21,17184,-14.319746404886246,164,0.11,809,94.93
,,,,,-95.82,21,17568,,168,0.09,817,95.91
,,,,,-95.25,21,17888,,172,0.09,823,95.34
0.9470828883349895,576,0.2639863403746858,0.0001,-0.27463262155652046,-95.23,21,19200,-15.099456816911697,176,0.09,910,95.32
,,,,,-95.23,21,19200,,180,0.09,910,95.32
,,,,,-95.23,21,19200,,184,0.09,910,95.32
,,,,,-95.23,21,19200,,188,0.09,910,95.32
,,,,,-95.23,21,19200,,192,0.09,910,95.32
,,,,,-95.23,21,20384,,196,0.09,930,95.32
0.9410400670021772,640,0.28037708869669586,0.0001,-0.30690979957580566,-95.81,20,20768,-15.704779669642448,200,0.08,1002,95.89
,,,,,-95.78,20,21056,,204,0.08,1008,95.86
,,,,,-94.84,21,21888,,208,0.1,1023,94.94
,,,,,-94.77,21,22400,,212,0.11,1031,94.88
,,,,,-94.77,21,22400,,216,0.11,1031,94.88
,,,,,-94.77,21,22400,,220,0.11,1031,94.88
,,,,,-94.77,21,22400,,224,0.11,1031,94.88
0.9350369796156883,704,0.3179647154174745,0.0001,-0.3392477282322943,-94.29,21,23392,-16.190451189875603,228,0.12,1113,94.41
,,,,,-94.4,21,23744,,232,0.12,1121,94.52
,,,,,-95.45,21,24096,,236,0.1,1127,95.55
,,,,,-95.09,21,24480,,240,0.11,1134,95.2
0.9290722031146288,768,0.33727774501312524,0.0001,-0.37151272129267454,-94.23,20,24960,-16.563315123319626,244,0.13,1209,94.36
,,,,,-94.23,20,25600,,248,0.13,1221,94.36
,,,,,-94.23,20,25600,,252,0.13,1221,94.36
,,,,,-94.23,20,25600,,256,0.13,1221,94.36
,,,,,-94.23,21,25984,,260,0.13,1227,94.36
0.9231447083875537,832,0.3970235241577029,0.0001,-0.40387898217886686,-94.92,20,26944,-16.419947668910027,264,0.12,1308,95.04
,,,,,-94.97,20,27296,,268,0.12,1315,95.09
,,,,,-95.45,20,27456,,272,0.11,1318,95.56
,,,,,-95.14,21,27968,,276,0.12,1328,95.26
,,,,,-95.14,21,28608,,280,0.12,1338,95.26
0.9172556949779391,896,0.324901633313857,0.0001,-0.43618021719157696,-95.14,20,28800,-15.866692677140236,284,0.12,1407,95.26
,,,,,-95.14,20,28800,,288,0.12,1407,95.26
,,,,,-95.14,20,29184,,292,0.12,1414,95.26
,,,,,-95.14,21,30144,,296,0.12,1431,95.26
,,,,,-95.65,21,30496,,300,0.11,1437,95.76
,,,,,-95.65,21,30656,,304,0.11,1440,95.76
0.9114038832485676,960,0.28312806284520775,0.0001,-0.4684819057583809,-96.24,20,31008,-16.153696089982986,308,0.1,1512,96.34
,,,,,-96.31,20,31744,,312,0.09,1526,96.4
,,,,,-96.31,20,32000,,316,0.09,1531,96.4
,,,,,-96.31,20,32000,,320,0.09,1531,96.4
,,,,,-96.31,21,32384,,324,0.09,1537,96.4
0.905590234324336,1024,0.3048821573611349,0.0001,-0.5008123717270792,-95.25,20,32992,-16.388021856546402,328,0.11,1613,95.36
,,,,,-95.68,20,33536,,332,0.1,1624,95.78
,,,,,-95.68,20,33792,,336,0.1,1629,95.78
,,,,,-96.49,20,34112,,340,0.08,1635,96.57
,,,,,-97.35,21,34528,,344,0.06,1642,97.41
0.8998126173391938,1088,0.2928305835230276,0.0001,-0.5331714237108827,-97.35,20,35200,-16.54488056898117,348,0.06,1719,97.41
,,,,,-97.35,20,35200,,352,0.06,1719,97.41
,,,,,-97.35,20,35584,,356,0.06,1726,97.41
,,,,,-97.35,20,36192,,360,0.06,1737,97.41
,,,,,-97.35,21,36736,,364,0.06,1746,97.41
0.8940721033141017,1152,0.2647869748179801,0.0001,-0.5654202178120613,-97.35,20,36992,-16.645813286304474,368,0.06,1816,97.41
,,,,,-97.78,20,37312,,372,0.05,1822,97.83
,,,,,-98.11,20,37728,,376,0.04,1830,98.15
,,,,,-98.11,20,38400,,380,0.04,1841,98.15
,,,,,-98.11,20,38400,,384,0.04,1841,98.15
,,,,,-98.11,20,38784,,388,0.04,1847,98.15
0.8883690508082509,1216,0.3054837316740304,0.0001,-0.5977235119789839,-97.23,20,39200,-16.691494286060333,392,0.06,1920,97.29
,,,,,-96.69,20,39392,,396,0.08,1924,96.77
,,,,,-96.69,20,40096,,400,0.08,1937,96.77
,,,,,-96.69,20,40480,,404,0.08,1944,96.77
,,,,,-97.04,20,40928,,408,0.07,1951,97.11
0.8827022211626172,1280,0.2743837437592447,0.0001,-0.6301061380654573,-96.96,20,41600,-16.701969385147095,412,0.07,2029,97.03
,,,,,-96.96,20,41600,,416,0.07,2029,97.03
,,,,,-96.96,20,41984,,420,0.07,2035,97.03
,,,,,-96.96,20,42400,,424,0.07,2043,97.03
,,,,,-98.5,20,42592,,428,0.04,2047,98.54
0.8770713284611702,1344,0.2682502646348439,0.0001,-0.6623350512236357,-98.05,20,43136,-16.68148249387741,432,0.05,2122,98.1
,,,,,-98.05,20,43456,,436,0.05,2129,98.1
,,,,,-97.51,20,43776,,440,0.06,2135,97.57
,,,,,-97.07,20,44544,,444,0.07,2148,97.14
,,,,,-97.07,20,44800,,448,0.07,2152,97.14
,,,,,-97.07,20,44800,,452,0.07,2152,97.14
0.8714760690927505,1408,0.2610039983410388,0.0001,-0.6948083927854896,-97.07,20,45344,-16.62679812312126,456,0.07,2229,97.14
,,,,,-95.81,20,45600,,460,0.1,2233,95.91
,,,,,-95.81,20,45984,,464,0.1,2239,95.91
,,,,,-95.81,20,46496,,468,0.1,2248,95.91
,,,,,-95.81,20,46912,,472,0.1,2254,95.91
0.8659162679687142,1472,0.26663134671980515,0.0001,-0.7269345046952367,-95.81,20,47744,-16.54094010591507,476,0.1,2335,95.91
,,,,,-95.81,20,48000,,480,0.1,2340,95.91
,,,,,-95.81,20,48000,,484,0.1,2340,95.91
,,,,,-95.81,20,48544,,488,0.1,2349,95.91
,,,,,-96.69,20,48800,,492,0.08,2353,96.77
0.860392932780087,1536,0.28033079905435443,0.0001,-0.7593119712546468,-97.23,20,49184,-16.43693494796753,496,0.06,2426,97.29
,,,,,-97.23,20,49696,,500,0.06,2436,97.29
,,,,,-97.23,20,50112,,504,0.06,2443,97.29
,,,,,-96.34,20,50528,,508,0.08,2450,96.42
,,,,,-96.42,20,51200,,512,0.08,2460,96.5
,,,,,-96.42,20,51200,,516,0.08,2460,96.5
0.8549039429053664,1600,0.28970493632368743,0.0001,-0.7917777728289366,-96.42,20,51680,-16.30957654118538,520,0.08,2535,96.5
,,,,,-96.42,20,51808,,524,0.08,2538,96.5
,,,,,-96.42,20,52192,,528,0.08,2544,96.5
,,,,,-96.87,20,52896,,532,0.07,2556,96.94
0.8494493579491973,1664,0.27156069490592927,0.0001,-0.8241665745154023,-96.87,20,53312,-16.170511782169342,536,0.07,2628,96.94
,,,,,-97.41,20,53728,,540,0.06,2637,97.47
,,,,,-97.43,20,54400,,544,0.06,2648,97.49
,,,,,-97.43,20,54400,,548,0.06,2648,97.49
,,,,,-96.78,20,54464,,552,0.07,2649,96.85
,,,,,-97.64,20,55008,,556,0.05,2658,97.69
0.8440292393788695,1728,0.23778676212532446,0.0001,-0.8564036525785923,-98.04,20,55392,-16.021730050444603,560,0.04,2730,98.08
,,,,,-98.04,20,55936,,564,0.04,2740,98.08
,,,,,-97.93,20,56480,,568,0.05,2749,97.98
,,,,,-97.93,20,56928,,572,0.05,2757,97.98
0.8386448109522462,1792,0.2797149397665635,0.0001,-0.8885521646589041,-97.93,20,57600,-15.854454070329666,576,0.05,2834,97.98
,,,,,-97.93,20,57600,,580,0.05,2834,97.98
,,,,,-97.93,20,57664,,584,0.05,2835,97.98
,,,,,-97.93,20,58208,,588,0.05,2845,97.98
,,,,,-97.93,20,58592,,592,0.05,2851,97.98
,,,,,-97.93,20,59136,,596,0.05,2859,97.98
0.8332949345931411,1856,0.2619226999813691,0.0001,-0.9211683692410588,-97.93,20,59680,-15.680237457156181,600,0.05,2935,97.98
,,,,,-97.93,20,60128,,604,0.05,2943,97.98
,,,,,-98.78,20,60672,,608,0.03,2953,98.81
,,,,,-98.78,20,60800,,612,0.03,2955,98.81
,,,,,-98.78,20,60864,,616,0.03,2956,98.81
,,,,,-98.55,20,61344,,620,0.04,2965,98.59
0.8279781257733703,1920,0.2602417852031067,0.0001,-0.953297657892108,-98.55,20,61600,-15.497783571481705,624,0.04,3036,98.59
,,,,,-98.0,20,62272,,628,0.05,3047,98.05
,,,,,-98.0,20,62656,,632,0.05,3054,98.05
,,,,,-97.52,20,63104,,636,0.06,3061,97.58
0.8226961512118578,1984,0.2248439799877815,0.0001,-0.9856146220117807,-97.52,20,63552,-15.319843724370003,640,0.06,3135,97.58
,,,,,-97.94,20,64000,,644,0.05,3143,97.99
,,,,,-97.94,20,64000,,648,0.05,3143,97.99
,,,,,-98.59,20,64512,,652,0.04,3152,98.63
,,,,,-98.59,20,64800,,656,0.04,3157,98.63
,,,,,-97.42,20,65184,,660,0.06,3163,97.48
0.8174475766718388,2048,0.2502432238543406,0.0001,-1.0179978720843792,-97.42,20,65696,-15.117117881774902,664,0.06,3239,97.48
,,,,,-97.17,20,66080,,668,0.06,3246,97.23
,,,,,-97.17,20,66304,,672,0.06,3250,97.23
,,,,,-96.45,20,66720,,676,0.08,3258,96.53
,,,,,-96.45,20,67200,,680,0.08,3265,96.53
0.8122328082099557,2112,0.22770801599835977,0.0001,-1.0502695962786674,-96.45,20,67680,-14.934905648231506,684,0.08,3340,96.53
,,,,,-96.45,20,67808,,688,0.08,3343,96.53
,,,,,-96.45,20,68384,,692,0.08,3353,96.53
,,,,,-96.45,20,68896,,696,0.08,3362,96.53
,,,,,-95.86,20,69152,,700,0.09,3367,95.95
,,,,,-95.19,20,69472,,704,0.1,3374,95.29
,,,,,-94.79,20,69568,,708,0.12,3376,94.91
0.8070510132238269,2176,0.24258685793029144,0.0001,-1.0826051011681557,-94.79,20,70272,-14.737111955881119,712,0.12,3453,94.91
,,,,,-94.79,20,70400,,716,0.12,3456,94.91
,,,,,-95.02,20,70944,,720,0.11,3465,95.13
,,,,,-94.75,20,71392,,724,0.12,3474,94.87
0.8019025698304176,2240,0.2109221596037969,0.0001,-1.1150166373699903,-95.3,20,72096,-14.536225035786629,728,0.11,3551,95.41
,,,,,-95.3,20,72352,,732,0.11,3556,95.41
,,,,,-95.74,20,72640,,736,0.1,3561,95.84
,,,,,-95.74,20,72768,,740,0.1,3564,95.84
,,,,,-95.74,20,73472,,744,0.1,3577,95.84
,,,,,-95.74,20,73600,,748,0.1,3579,95.84
0.7967858985066414,2304,0.21172750170808285,0.0001,-1.1474954821169376,-95.74,20,74144,-14.337438017129898,752,0.1,3654,95.84
,,,,,-95.74,20,74592,,756,0.1,3662,95.84
,,,,,-96.91,20,75296,,760,0.08,3675,96.99
,,,,,-96.91,20,75552,,764,0.08,3680,96.99
0.7917022919282317,2368,0.18411034060409293,0.0001,-1.1795373875647783,-97.27,20,75840,-14.139203652739525,768,0.07,3750,97.34
,,,,,-97.27,20,75968,,772,0.07,3753,97.34
,,,,,-97.99,20,76672,,776,0.05,3765,98.04
,,,,,-97.99,20,76800,,780,0.05,3767,98.04
,,,,,-97.99,20,77344,,784,0.05,3777,98.04
,,,,,-97.99,20,77792,,788,0.05,3785,98.04
0.786651112139225,2432,0.19824920606333762,0.0001,-1.2121799942106009,-97.99,20,78496,-13.941168069839478,792,0.05,3863,98.04
,,,,,-97.68,20,78688,,796,0.06,3867,97.74
,,,,,-98.27,20,79040,,800,0.05,3874,98.32
,,,,,-98.94,20,79104,,804,0.04,3876,98.98
,,,,,-99.38,20,79872,,808,0.02,3889,99.4
0.7816319977864623,2496,0.16980445972876623,0.0001,-1.2441761903464794,-99.38,20,80000,-13.740416079759598,812,0.02,3957,99.4
,,,,,-99.38,20,80544,,816,0.02,3967,99.4
,,,,,-99.38,20,80992,,820,0.02,3976,99.4
,,,,,-99.65,20,81696,,824,0.01,3987,99.66
,,,,,-99.65,20,81888,,828,0.01,3991,99.66
0.7766455598175526,2560,0.1605763331754133,0.0001,-1.2768629491329193,-99.65,20,82240,-13.541609898209572,832,0.01,4063,99.66
,,,,,-99.69,20,82304,,836,0.01,4064,99.7
,,,,,-99.17,20,82944,,840,0.02,4074,99.19
,,,,,-99.17,20,83200,,844,0.02,4080,99.19
,,,,,-99.17,20,83712,,848,0.02,4087,99.19
0.7716901749372482,2624,0.17741395765915513,0.0001,-1.3090245500206947,-99.17,20,84000,-13.339224115014076,852,0.02,4158,99.19
,,,,,-98.43,20,84736,,856,0.03,4171,98.46
,,,,,-98.43,20,85056,,860,0.03,4178,98.46
,,,,,-98.43,20,85312,,864,0.03,4182,98.46
,,,,,-98.43,20,85504,,868,0.03,4186,98.46
,,,,,-98.43,20,85856,,872,0.03,4191,98.46
0.7667669048532844,2688,0.1982565217767842,0.0001,-1.3413119930773973,-98.43,20,86400,-13.137507915496826,876,0.03,4266,98.46
,,,,,-98.09,20,86464,,880,0.04,4267,98.13
,,,,,-97.49,20,87008,,884,0.05,4278,97.54
,,,,,-97.0,20,87392,,888,0.06,4285,97.06
0.7618759712204337,2752,0.14824070018948987,0.0001,-1.3732781670987606,-97.0,20,88160,-12.934395089745522,892,0.06,4363,97.06
,,,,,-97.31,20,88352,,896,0.05,4367,97.36
,,,,,-97.31,20,88672,,900,0.05,4372,97.36
,,,,,-97.31,20,89056,,904,0.05,4381,97.36
,,,,,-96.59,20,89600,,908,0.06,4390,96.65
,,,,,-96.59,20,89632,,912,0.06,4391,96.65
0.7570162080228329,2816,0.16714302788022906,0.0001,-1.4055040702223778,-96.59,20,90144,-12.72969301044941,916,0.06,4465,96.65
,,,,,-96.25,20,90368,,920,0.07,4469,96.32
,,,,,-96.25,20,91136,,924,0.07,4484,96.32
,,,,,-95.89,20,91456,,928,0.08,4489,95.97
,,,,,-95.89,20,91840,,932,0.08,4496,95.97
,,,,,-95.89,20,92128,,936,0.08,4501,95.97
0.7521873330697417,2880,0.17113495309604332,0.0001,-1.4383135251700878,-96.16,20,92800,-12.533621907234192,940,0.08,4580,96.24
,,,,,-96.16,20,92800,,944,0.08,4580,96.24
,,,,,-96.16,20,93280,,948,0.08,4588,96.24
,,,,,-96.16,20,93536,,952,0.08,4593,96.24
0.7473887531086802,2944,0.1492559458129108,0.0001,-1.4704878721386194,-96.9,20,94336,-12.330242544412613,956,0.07,4671,96.97
,,,,,-96.58,20,94560,,960,0.08,4675,96.66
,,,,,-95.99,20,94880,,964,0.09,4683,96.08
,,,,,-95.99,20,95104,,968,0.09,4687,96.08
,,,,,-95.99,20,95872,,972,0.09,4699,96.08
,,,,,-95.99,20,96000,,976,0.09,4701,96.08
,,,,,-96.33,20,96224,,980,0.08,4705,96.41
0.742620462551713,3008,0.16179914318490773,0.0001,-1.5027948450297117,-96.44,20,96608,-12.135277852416039,984,0.08,4777,96.52
,,,,,-96.93,20,97376,,988,0.07,4791,97.0
,,,,,-96.2,20,97696,,992,0.08,4797,96.28
,,,,,-95.53,20,97760,,996,0.1,4798,95.63
,,,,,-95.53,20,98240,,1000,0.1,4806,95.63
0.737882561981678,3072,0.13765293930191547,0.0001,-1.5354205779731274,-95.53,20,98528,-11.935635954141617,1004,0.1,4877,95.63
,,,,,-94.74,20,98944,,1008,0.12,4886,94.86
,,,,,-94.74,20,99200,,1012,0.12,4890,94.86
,,,,,-94.74,20,99680,,1016,0.12,4898,94.86
,,,,,-95.08,20,100000,,1020,0.11,4903,95.19
0.7331755114719272,3136,0.16144808329408988,0.0001,-1.5668767113238573,-94.56,20,100832,-11.737180978059769,1024,0.12,4984,94.68
,,,,,-94.92,20,100928,,1028,0.11,4986,95.03
,,,,,-94.33,20,101152,,1032,0.12,4990,94.45
,,,,,-94.33,20,101472,,1036,0.12,4995,94.45
,,,,,-94.58,20,101920,,1040,0.11,5003,94.69
,,,,,-94.58,20,102400,,1044,0.11,5011,94.69
0.7284992281347513,3200,0.14456256350968033,0.0001,-1.5995197929441929,-94.58,20,102624,-11.5426364839077,1048,0.11,5080,94.69
,,,,,-94.18,20,102944,,1052,0.12,5088,94.3
,,,,,-94.18,20,103968,,1056,0.12,5104,94.3
,,,,,-94.5,20,104128,,1060,0.11,5107,94.61
,,,,,-95.09,20,104352,,1064,0.1,5111,95.19
0.72385214548558,3264,0.1411449175211601,0.0001,-1.6320165488868952,-95.09,20,104672,-11.351758927106857,1068,0.1,5182,95.19
,,,,,-94.52,20,105056,,1072,0.11,5191,94.63
,,,,,-94.52,20,105472,,1076,0.11,5198,94.63
,,,,,-94.52,20,105632,,1080,0.11,5201,94.63
,,,,,-95.01,20,106144,,1084,0.1,5209,95.11
