rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,time/fps,train/n_updates,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,train/actor_loss,rollout/success_rate,train/ent_coef
96.90625,114,-0.015925391229757224,27,64,0.0001,4,-96.84375,3200,0.3443141174502671,-3.2839207351207733,0.0625,0.99685338139534
96.90625,114,,27,,,8,-96.84375,3200,,,0.0625,
96.90625,114,,27,,,12,-96.84375,3200,,,0.0625,
96.90625,114,,27,,,16,-96.84375,3200,,,0.0625,
96.90625,114,,27,,,20,-96.84375,3200,,,0.0625,
96.90625,114,,27,,,24,-96.84375,3200,,,0.0625,
96.90625,114,,27,,,28,-96.84375,3200,,,0.0625,
96.90625,114,,27,,,32,-96.84375,3200,,,0.0625,
95.80555555555556,218,-0.048278051253873855,27,128,0.0001,36,-95.72222222222223,6080,0.09530525503214449,-5.612305246293545,0.08333333333333333,0.9904886428266764
97.640625,271,-0.08062749600503594,23,192,0.0001,40,-97.59375,6400,0.10939755255822092,-7.803777679800987,0.046875,0.9841668009757996
97.640625,271,,23,,,44,-97.59375,6400,,,0.046875,
97.640625,271,,23,,,48,-97.59375,6400,,,0.046875,
97.640625,271,,23,,,52,-97.59375,6400,,,0.046875,
97.640625,271,,23,,,56,-97.59375,6400,,,0.046875,
97.640625,271,,23,,,60,-97.59375,6400,,,0.046875,
97.640625,271,,23,,,64,-97.59375,6400,,,0.046875,
96.82608695652173,366,-0.11295492213685066,23,256,0.0001,68,-96.7536231884058,8736,0.1138680133735761,-9.735382705926895,0.07246376811594203,0.9778866404667497
96.58333333333333,380,,24,,,72,-96.5,9376,,,0.08333333333333333,
97.4375,384,,24,,,76,-97.375,9600,,,0.0625,
97.4375,384,,24,,,80,-97.375,9600,,,0.0625,
97.4375,384,,24,,,84,-97.375,9600,,,0.0625,
97.4375,384,,24,,,88,-97.375,9600,,,0.0625,
97.4375,384,,24,,,92,-97.375,9600,,,0.0625,
97.4375,384,,24,,,96,-97.375,9600,,,0.0625,
96.61,466,-0.1452800442930311,24,320,0.0001,100,-96.53,11296,0.1594421765767038,-11.356243789196014,0.08,0.9716471750289202
97.6,484,,25,,,104,-97.54,12160,,,0.06,
97.6,544,-0.17755117686465383,23,384,0.0001,108,-97.54,12800,0.20416730863507837,-12.6946652084589,0.06,0.965448185801506
