time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/ent_coef_loss,train/n_updates,rollout/success_rate,rollout/ep_len_mean,train/ent_coef,time/episodes,train/actor_loss,train/learning_rate,train/critic_loss
113,-97.71875,28,3200,-0.015924738915600756,64,0.03125,97.75,0.9968534354120493,4,-3.089315727353096,0.0001,0.38789126044139266
113,-97.71875,28,3200,,,0.03125,97.75,,8,,,
113,-97.71875,28,3200,,,0.03125,97.75,,12,,,
113,-97.71875,28,3200,,,0.03125,97.75,,16,,,
113,-97.71875,28,3200,,,0.03125,97.75,,20,,,
113,-97.71875,28,3200,,,0.03125,97.75,,24,,,
113,-97.71875,28,3200,,,0.03125,97.75,,28,,,
113,-97.71875,28,3200,,,0.03125,97.75,,32,,,
309,-98.03125,20,6400,-0.08062947692815214,192,0.03125,98.0625,0.9841666566208005,36,-7.346782386302948,0.0001,0.1224833024898544
309,-98.03125,20,6400,,,0.03125,98.0625,,40,,,
309,-98.03125,20,6400,,,0.03125,98.0625,,44,,,
309,-98.03125,20,6400,,,0.03125,98.0625,,48,,,
309,-98.03125,20,6400,,,0.03125,98.0625,,52,,,
309,-98.03125,20,6400,,,0.03125,98.0625,,56,,,
309,-98.03125,20,6400,,,0.03125,98.0625,,60,,,
309,-98.03125,20,6400,,,0.03125,98.0625,,64,,,
431,-97.02941176470588,21,9216,-0.1129557496169582,256,0.058823529411764705,97.08823529411765,0.9778863722458482,68,-8.552722729742527,0.0001,0.10797782556619495
439,-97.89583333333333,21,9600,,,0.041666666666666664,97.9375,,72,,,
439,-97.89583333333333,21,9600,,,0.041666666666666664,97.9375,,76,,,
439,-97.89583333333333,21,9600,,,0.041666666666666664,97.9375,,80,,,
439,-97.89583333333333,21,9600,,,0.041666666666666664,97.9375,,84,,,
439,-97.89583333333333,21,9600,,,0.041666666666666664,97.9375,,88,,,
439,-97.89583333333333,21,9600,,,0.041666666666666664,97.9375,,92,,,
439,-97.89583333333333,21,9600,,,0.041666666666666664,97.9375,,96,,,
537,-97.4,20,11136,-0.14528251020237803,320,0.05,97.45,0.9716469403356314,100,-10.04103921353817,0.0001,0.11561218649148941
639,-97.15,20,12800,-0.17755381856113672,384,0.06,97.21,0.9654478887096047,104,-11.500093966722488,0.0001,0.13704136409796774
639,-97.15,20,12800,,,0.06,97.21,,108,,,
639,-97.15,20,12800,,,0.06,97.21,,112,,,
639,-97.15,20,12800,,,0.06,97.21,,116,,,
639,-97.15,20,12800,,,0.06,97.21,,120,,,
639,-97.15,20,12800,,,0.06,97.21,,124,,,
639,-97.15,20,12800,,,0.06,97.21,,128,,,
663,-96.61,21,14016,,,0.07,96.68,,132,,,
740,-96.61,19,14496,-0.20990800275467336,448,0.07,96.68,0.9592892741784453,136,-12.786224901676178,0.0001,0.15459268749691546
770,-95.69,20,16000,,,0.09,95.78,,140,,,
770,-95.69,20,16000,,,0.09,95.78,,144,,,
770,-95.69,20,16000,,,0.09,95.78,,148,,,
770,-95.69,20,16000,,,0.09,95.78,,152,,,
770,-95.69,20,16000,,,0.09,95.78,,156,,,
770,-95.69,20,16000,,,0.09,95.78,,160,,,
856,-94.58,19,17024,-0.24227615515701473,512,0.11,94.69,0.9531687526032329,164,-13.84117005765438,0.0001,0.1972800266230479
868,-94.8,20,17536,,,0.1,94.9,,168,,,
872,-94.27,20,17696,,,0.11,94.38,,172,,,
971,-93.82,19,19200,-0.27461638674139977,576,0.12,93.94,0.9470867794007063,176,-14.689059644937515,0.0001,0.27495562634430826
971,-93.82,19,19200,,,0.12,93.94,,180,,,
971,-93.82,19,19200,,,0.12,93.94,,184,,,
971,-93.82,19,19200,,,0.12,93.94,,188,,,
971,-93.82,19,19200,,,0.12,93.94,,192,,,
991,-93.82,20,20224,,,0.12,93.94,,196,,,
1070,-94.9,19,20736,-0.3068967266008258,640,0.1,95.0,0.9410440325737,200,-15.360449984669685,0.0001,0.2605227662716061
1073,-94.87,19,20896,,,0.1,94.97,,204,,,
1098,-93.92,20,22176,,,0.12,94.04,,208,,,
1104,-93.86,20,22400,,,0.13,93.99,,212,,,
1104,-93.86,20,22400,,,0.13,93.99,,216,,,
1104,-93.86,20,22400,,,0.13,93.99,,220,,,
1104,-93.86,20,22400,,,0.13,93.99,,224,,,
1181,-93.14,19,23136,-0.3392394841648638,704,0.14,93.28,0.9350408772006631,228,-15.892878010869026,0.0001,0.33028948318678886
1191,-93.68,19,23616,,,0.13,93.81,,232,,,
1200,-94.21,19,23968,,,0.12,94.33,,236,,,
1208,-94.63,20,24352,,,0.11,94.74,,240,,,
1291,-93.42,19,24928,-0.37150339037179947,768,0.14,93.56,0.9290760476142168,244,-16.309574127197266,0.0001,0.3290684116072953
1305,-93.42,19,25600,,,0.14,93.56,,248,,,
1305,-93.42,19,25600,,,0.14,93.56,,252,,,
1305,-93.42,19,25600,,,0.14,93.56,,256,,,
1305,-93.42,19,25600,,,0.14,93.56,,260,,,
1394,-94.53,19,26816,-0.40388023667037487,832,0.12,94.65,0.9231484094634652,264,-16.618174225091934,0.0001,0.3225344233214855
1402,-95.07,19,27168,,,0.11,95.18,,268,,,
1406,-95.14,19,27392,,,0.11,95.25,,272,,,
1415,-95.26,19,27776,,,0.11,95.37,,276,,,
1434,-95.26,19,28640,,,0.11,95.37,,280,,,
1507,-95.26,19,28800,-0.43618063209578395,896,0.11,95.37,0.9172593075782061,284,-16.842835247516632,0.0001,0.3424579065758735
1507,-95.26,19,28800,,,0.11,95.37,,288,,,
1507,-95.26,19,28800,,,0.11,95.37,,292,,,
1529,-95.26,19,30016,,,0.11,95.37,,296,,,
1538,-95.26,19,30368,,,0.11,95.37,,300,,,
1544,-95.77,19,30592,,,0.1,95.87,,304,,,
1618,-96.72,19,30976,-0.4684904576279223,960,0.08,96.8,0.911407308652997,308,-16.984239906072617,0.0001,0.38430083682760596
1634,-96.78,19,31840,,,0.07,96.85,,312,,,
1638,-96.78,19,32000,,,0.07,96.85,,316,,,
1638,-96.78,19,32000,,,0.07,96.85,,320,,,
1638,-96.78,19,32000,,,0.07,96.85,,324,,,
1729,-96.16,19,33184,-0.500825016759336,1024,0.08,96.24,0.9055935358628631,328,-17.08187186717987,0.0001,0.293475738610141
1736,-96.16,19,33536,,,0.08,96.24,,332,,,
1740,-96.16,19,33696,,,0.08,96.24,,336,,,
1746,-96.24,19,33952,,,0.08,96.32,,340,,,
1753,-97.45,19,34208,,,0.05,97.5,,344,,,
1839,-97.45,19,35200,-0.5331797385588288,1088,0.05,97.5,0.8998158052563667,348,-17.13399338722229,0.0001,0.3088102344190702
1839,-97.45,19,35200,,,0.05,97.5,,352,,,
1839,-97.45,19,35200,,,0.05,97.5,,356,,,
1858,-97.04,19,36192,,,0.06,97.1,,360,,,
1869,-97.04,19,36704,,,0.06,97.1,,364,,,
1873,-97.04,19,36800,,,0.06,97.1,,368,,,
1943,-97.5,19,37088,-0.5654340479522943,1152,0.05,97.55,0.8940752241760492,372,-17.133779913187027,0.0001,0.29206930403597653
1949,-97.83,19,37408,,,0.04,97.87,,376,,,
1969,-97.83,19,38400,,,0.04,97.87,,380,,,
1969,-97.83,19,38400,,,0.04,97.87,,384,,,
1969,-97.83,19,38400,,,0.04,97.87,,388,,,
2054,-97.83,19,39392,-0.5977385444566607,1216,0.04,97.87,0.8883720235899091,392,-17.109308689832687,0.0001,0.2869554223725572
2064,-97.83,19,39904,,,0.04,97.87,,396,,,
2066,-97.83,19,40000,,,0.04,97.87,,400,,,
2074,-97.83,19,40288,,,0.04,97.87,,404,,,
2082,-97.83,19,40608,,,0.04,97.87,,408,,,
2162,-97.76,19,41440,-0.630128919146955,1280,0.04,97.8,0.8827050728723407,412,-17.048275619745255,0.0001,0.29226695536635816
2165,-97.76,19,41600,,,0.04,97.8,,416,,,
2165,-97.76,19,41600,,,0.04,97.8,,420,,,
2186,-97.25,19,42592,,,0.05,97.3,,424,,,
2191,-97.95,19,42816,,,0.04,97.99,,428,,,
2264,-98.59,19,43168,-0.6623461209237576,1344,0.03,98.62,0.8770741363987327,432,-16.964512169361115,0.0001,0.2598613342270255
2270,-98.59,19,43488,,,0.03,98.62,,436,,,
2279,-99.01,19,43808,,,0.02,99.03,,440,,,
2295,-99.01,19,44640,,,0.02,99.03,,444,,,
2299,-99.01,19,44800,,,0.02,99.03,,448,,,
2299,-99.01,19,44800,,,0.02,99.03,,452,,,
2379,-98.15,19,45536,-0.6948283221572638,1408,0.04,98.19,0.8714788071811199,456,-16.85715463757515,0.0001,0.25787775916978717
2387,-98.56,19,45984,,,0.03,98.59,,460,,,
2394,-98.44,19,46304,,,0.03,98.47,,464,,,
2397,-98.44,19,46400,,,0.03,98.47,,468,,,
2409,-97.92,19,46912,,,0.04,97.96,,472,,,
2491,-97.92,19,47776,-0.7269463427364826,1472,0.04,97.96,0.8659189082682133,476,-16.72957330942154,0.0001,0.27080514293629676
2496,-97.92,19,48000,,,0.04,97.96,,480,,,
2496,-97.92,19,48000,,,0.04,97.96,,484,,,
