rollout/success_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,train/ent_coef,rollout/ep_len_mean
0.0625,-0.01592252442969766,0.36688597360625863,-3.189175743609667,64,107,0.0001,-96.84375,4,3200,29,0.9968539094552398,96.90625
0.0625,,,,,107,,-96.84375,8,3200,29,,96.90625
0.0625,,,,,107,,-96.84375,12,3200,29,,96.90625
0.0625,,,,,107,,-96.84375,16,3200,29,,96.90625
0.0625,,,,,107,,-96.84375,20,3200,29,,96.90625
0.0625,,,,,107,,-96.84375,24,3200,29,,96.90625
0.0625,,,,,107,,-96.84375,28,3200,29,,96.90625
0.0625,,,,,107,,-96.84375,32,3200,29,,96.90625
0.08333333333333333,-0.04827334015863016,0.09867649991065264,-5.419510677456856,128,208,0.0001,-95.72222222222223,36,6080,29,0.9904896980151534,95.80555555555556
0.046875,-0.08062140573747456,0.1145052770152688,-7.144497141242027,192,259,0.0001,-97.59375,40,6400,24,0.9841680619865656,97.640625
0.046875,,,,,259,,-97.59375,44,6400,24,,97.640625
0.046875,,,,,259,,-97.59375,48,6400,24,,97.640625
0.046875,,,,,259,,-97.59375,52,6400,24,,97.640625
0.046875,,,,,259,,-97.59375,56,6400,24,,97.640625
0.046875,,,,,259,,-97.59375,60,6400,24,,97.640625
0.046875,,,,,259,,-97.59375,64,6400,24,,97.640625
0.07352941176470588,-0.11294735956471413,0.11038945126347244,-8.677490130066872,256,340,0.0001,-96.19117647058823,68,8288,24,0.9778880449011922,96.26470588235294
0.08333333333333333,,,,,362,,-95.91666666666667,72,9376,25,,96.0
0.0625,,,,,366,,-96.9375,76,9600,26,,97.0
0.0625,,,,,366,,-96.9375,80,9600,26,,97.0
0.0625,,,,,366,,-96.9375,84,9600,26,,97.0
0.0625,,,,,366,,-96.9375,88,9600,26,,97.0
0.0625,,,,,366,,-96.9375,92,9600,26,,97.0
0.0625,,,,,366,,-96.9375,96,9600,26,,97.0
0.07,-0.1452694816980511,0.14088719349820167,-10.43535926938057,320,441,0.0001,-96.59,100,11136,25,0.9716487461701035,96.66
0.06,,,,,457,,-97.14,104,11936,26,,97.2
0.06,-0.17754053813405335,0.200108605902642,-11.902961120009422,384,519,0.0001,-97.14,108,12800,24,0.9654498966410756,97.2
0.06,,,,,519,,-97.14,112,12800,24,,97.2
0.06,,,,,519,,-97.14,116,12800,24,,97.2
0.06,,,,,519,,-97.14,120,12800,24,,97.2
0.06,,,,,519,,-97.14,124,12800,24,,97.2
0.06,,,,,519,,-97.14,128,12800,24,,97.2
0.07,,,,,549,,-96.56,132,14304,26,,96.63
0.07,-0.209885208401829,0.18516300211194903,-13.121580362319946,448,601,0.0001,-96.56,136,14688,24,0.9592914907261729,96.63
0.08,,,,,621,,-96.21,140,15680,25,,96.29
0.08,,,,,627,,-96.21,144,16000,25,,96.29
0.08,,,,,627,,-96.21,148,16000,25,,96.29
0.08,,,,,627,,-96.21,152,16000,25,,96.29
0.08,,,,,627,,-96.21,156,16000,25,,96.29
0.08,,,,,627,,-96.21,160,16000,25,,96.29
