time/episodes,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/critic_loss
4,0.9968412546440959,-0.01598291036680166,-96.53125,3200,34,0.0001,64,-4.377980258315802,96.59375,0.0625,92,0.24332802090793848
8,,,-96.53125,3200,34,,,,96.59375,0.0625,92,
12,,,-96.53125,3200,34,,,,96.59375,0.0625,92,
16,,,-96.53125,3200,34,,,,96.59375,0.0625,92,
20,,,-96.53125,3200,34,,,,96.59375,0.0625,92,
24,,,-96.53125,3200,34,,,,96.59375,0.0625,92,
28,,,-96.53125,3200,34,,,,96.59375,0.0625,92,
32,,,-96.53125,3200,34,,,,96.59375,0.0625,92,
36,0.9904583357274532,-0.048428244539536536,-95.47222222222223,6048,34,0.0001,128,-6.831931807100773,95.55555555555556,0.08333333333333333,176,0.11493563966359943
40,0.9841282488778234,-0.08081785903777927,-97.453125,6400,30,0.0001,192,-8.926867075264454,97.5,0.046875,212,0.1530762508045882
44,,,-97.453125,6400,30,,,,97.5,0.046875,212,
48,,,-97.453125,6400,30,,,,97.5,0.046875,212,
52,,,-97.453125,6400,30,,,,97.5,0.046875,212,
56,,,-97.453125,6400,30,,,,97.5,0.046875,212,
60,,,-97.453125,6400,30,,,,97.5,0.046875,212,
64,,,-97.453125,6400,30,,,,97.5,0.046875,212,
68,0.9778430256992579,-0.11317428818438202,-97.20588235294117,8768,30,0.0001,256,-10.699384793639183,97.26470588235294,0.058823529411764705,287,0.15966112178284675
72,,,-97.66666666666667,9600,31,,,,97.72916666666667,0.0625,304,
76,,,-97.66666666666667,9600,31,,,,97.72916666666667,0.0625,304,
80,,,-97.66666666666667,9600,31,,,,97.72916666666667,0.0625,304,
84,,,-97.66666666666667,9600,31,,,,97.72916666666667,0.0625,304,
88,,,-97.66666666666667,9600,31,,,,97.72916666666667,0.0625,304,
92,,,-97.66666666666667,9600,31,,,,97.72916666666667,0.0625,304,
96,,,-97.66666666666667,9600,31,,,,97.72916666666667,0.0625,304,
100,0.9715999830514193,-0.14551420253701508,-96.77,11168,30,0.0001,320,-12.175442099571228,96.85,0.08,364,0.21994519757572562
104,,,-97.4,12160,31,,,,97.47,0.07,384,
108,0.9653982827439904,-0.1778081359807402,-97.4,12800,30,0.0001,384,-13.39396046102047,97.47,0.07,425,0.2116046459414065
112,,,-97.4,12800,30,,,,97.47,0.07,425,
116,,,-97.4,12800,30,,,,97.47,0.07,425,
120,,,-97.4,12800,30,,,,97.47,0.07,425,
124,,,-97.4,12800,30,,,,97.47,0.07,425,
128,,,-97.4,12800,30,,,,97.47,0.07,425,
132,,,-96.41,14144,31,,,,96.5,0.09,452,
136,0.9592374321073294,-0.21016909880563617,-96.59,14496,29,0.0001,448,-14.398987412452698,96.68,0.09,489,0.26613085728604347
140,,,-96.12,16000,30,,,,96.22,0.1,518,
144,,,-96.12,16000,30,,,,96.22,0.1,518,
148,,,-96.12,16000,30,,,,96.22,0.1,518,
152,,,-96.12,16000,30,,,,96.22,0.1,518,
156,,,-96.12,16000,30,,,,96.22,0.1,518,
160,,,-96.12,16000,30,,,,96.22,0.1,518,
164,0.9531152276322246,-0.24255377775989473,-95.43,17216,30,0.0001,512,-15.221642017364502,95.54,0.11,572,0.2465157713741064
168,,,-95.37,17568,30,,,,95.47,0.1,579,
172,,,-94.98,17696,30,,,,95.08,0.1,582,
176,0.9470317857339978,-0.27490247460082173,-94.53,19200,29,0.0001,576,-15.82727287709713,94.64,0.11,641,0.2973322205943987
180,,,-94.53,19200,29,,,,94.64,0.11,641,
184,,,-94.53,19200,29,,,,94.64,0.11,641,
188,,,-94.53,19200,29,,,,94.64,0.11,641,
192,,,-94.53,19200,29,,,,94.64,0.11,641,
196,,,-94.53,20416,30,,,,94.64,0.11,665,
200,0.9409877844154835,-0.30719578824937344,-95.48,20768,29,0.0001,640,-16.301519572734833,95.57,0.09,702,0.400706906337291
204,,,-95.48,20896,29,,,,95.57,0.09,705,
208,,,-95.14,21344,29,,,,95.24,0.1,715,
212,,,-95.14,22400,30,,,,95.24,0.1,735,
216,,,-95.14,22400,30,,,,95.24,0.1,735,
220,,,-95.14,22400,30,,,,95.24,0.1,735,
224,,,-95.14,22400,30,,,,95.24,0.1,735,
228,0.9349835840985179,-0.33954436145722866,-95.14,23616,29,0.0001,704,-16.70178809762001,95.24,0.1,788,0.26914622471667826
232,,,-95.56,23904,30,,,,95.65,0.09,795,
236,,,-95.9,24000,30,,,,95.98,0.08,797,
240,,,-95.92,24192,30,,,,96.0,0.08,801,
244,,,-95.2,24544,30,,,,95.3,0.1,809,
248,0.929017897695303,-0.3718099482357502,-94.69,25600,29,0.0001,768,-16.977893128991127,94.8,0.11,858,0.3959147381829098
252,,,-94.69,25600,29,,,,94.8,0.11,858,
256,,,-94.69,25600,29,,,,94.8,0.11,858,
260,0.9230897584930062,-0.4041826808825135,-94.69,26720,29,0.0001,832,-17.19982999563217,94.8,0.11,910,0.34531267371494323
264,,,-95.38,27104,29,,,,95.48,0.1,918,
268,,,-95.92,27200,29,,,,96.01,0.09,920,
272,,,-96.43,27392,29,,,,96.51,0.08,925,
276,,,-96.43,27712,29,,,,96.51,0.08,931,
280,0.9172002049162984,-0.4364912146702409,-96.43,28800,29,0.0001,896,-17.341270595788956,96.51,0.08,982,0.34960670745931566
284,,,-96.43,28800,29,,,,96.51,0.08,982,
288,,,-96.43,28800,29,,,,96.51,0.08,982,
292,,,-96.43,29920,29,,,,96.51,0.08,1004,
296,,,-96.43,30304,29,,,,96.51,0.08,1013,
300,,,-96.43,30400,29,,,,96.51,0.08,1015,
304,,,-96.95,30592,29,,,,97.02,0.07,1020,
308,0.9113479172810912,-0.4687949060462415,-96.88,30848,29,0.0001,960,-17.403321385383606,96.95,0.07,1054,0.2950405355077237
312,,,-96.52,31968,29,,,,96.6,0.08,1077,
316,,,-96.52,32000,29,,,,96.6,0.08,1078,
320,,,-96.52,32000,29,,,,96.6,0.08,1078,
324,0.9055339489132166,-0.5011243312619627,-95.82,33024,29,0.0001,1024,-17.431685358285904,95.91,0.09,1127,0.2942565658595413
328,,,-95.82,33408,29,,,,95.91,0.09,1135,
332,,,-96.39,33568,29,,,,96.47,0.08,1139,
336,,,-96.39,33760,29,,,,96.47,0.08,1143,
