rollout/success_rate,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/ent_coef_loss,train/actor_loss,rollout/ep_len_mean,train/ent_coef,time/episodes,time/fps,train/critic_loss,train/n_updates,time/time_elapsed
0.0625,3200,0.0001,-96.90625,-0.015929261266137473,-4.436322912573814,96.96875,0.9968523094430566,4,32,0.23083489434793591,64,97
0.0625,3200,,-96.90625,,,96.96875,,8,32,,,97
0.0625,3200,,-96.90625,,,96.96875,,12,32,,,97
0.0625,3200,,-96.90625,,,96.96875,,16,32,,,97
0.0625,3200,,-96.90625,,,96.96875,,20,32,,,97
0.0625,3200,,-96.90625,,,96.96875,,24,32,,,97
0.0625,3200,,-96.90625,,,96.96875,,28,32,,,97
0.0625,3200,,-96.90625,,,96.96875,,32,32,,,97
0.08333333333333333,6080,0.0001,-95.80555555555556,-0.048283610958606005,-6.9114824160933495,95.88888888888889,0.990486522205174,36,32,0.11827108555007726,128,186
0.046875,6400,0.0001,-97.640625,-0.08063473692163825,-9.041232503950596,97.6875,0.9841641411185265,40,28,0.1608551968820393,192,223
0.046875,6400,,-97.640625,,,97.6875,,44,28,,,223
0.046875,6400,,-97.640625,,,97.6875,,48,28,,,223
0.046875,6400,,-97.640625,,,97.6875,,52,28,,,223
0.046875,6400,,-97.640625,,,97.6875,,56,28,,,223
0.046875,6400,,-97.640625,,,97.6875,,60,28,,,223
0.046875,6400,,-97.640625,,,97.6875,,64,28,,,223
0.07246376811594203,8800,0.0001,-96.52173913043478,-0.11295964731834829,-10.778451710939407,96.59420289855072,0.9778836779296398,68,29,0.22664454253390431,256,302
0.0625,9600,,-97.35416666666667,,,97.41666666666667,,72,30,,,319
0.0625,9600,,-97.35416666666667,,,97.41666666666667,,76,30,,,319
0.0625,9600,,-97.35416666666667,,,97.41666666666667,,80,30,,,319
0.0625,9600,,-97.35416666666667,,,97.41666666666667,,84,30,,,319
0.0625,9600,,-97.35416666666667,,,97.41666666666667,,88,30,,,319
0.0625,9600,,-97.35416666666667,,,97.41666666666667,,92,30,,,319
0.0625,9600,,-97.35416666666667,,,97.41666666666667,,96,30,,,319
0.08,11136,0.0001,-96.39,-0.1452894383110106,-12.246605694293976,96.47,0.9716439377516508,100,29,0.16026345151476562,320,380
0.07,12384,0.0001,-96.9,-0.17756856908090413,-13.453065529465675,96.97,0.9654444744810462,104,28,0.2502603173488751,384,437
0.07,12800,,-96.9,,,96.97,,108,28,,,446
0.07,12800,,-96.9,,,96.97,,112,28,,,446
0.07,12800,,-96.9,,,96.97,,116,28,,,446
0.07,12800,,-96.9,,,96.97,,120,28,,,446
0.07,12800,,-96.9,,,96.97,,124,28,,,446
0.07,12800,,-96.9,,,96.97,,128,28,,,446
0.08,14016,,-96.36,,,96.44,,132,29,,,471
0.07,15200,0.0001,-96.88,-0.20991504262201488,-14.420541554689407,96.95,0.9592854790389538,136,28,0.25199490261729807,448,526
0.08,16000,,-96.45,,,96.53,,140,29,,,544
0.08,16000,,-96.45,,,96.53,,144,29,,,544
0.08,16000,,-96.45,,,96.53,,148,29,,,544
0.08,16000,,-96.45,,,96.53,,152,29,,,544
0.08,16000,,-96.45,,,96.53,,156,29,,,544
0.08,16000,,-96.45,,,96.53,,160,29,,,544
0.09,17184,0.0001,-95.76,-0.24229454644955695,-15.258467555046082,95.85,0.9531647469848394,164,28,0.26509253797121346,512,598
0.09,17568,,-95.77,,,95.86,,168,28,,,608
0.08,18784,0.0001,-95.72,-0.2746391110122204,-15.896769240498543,95.8,0.947082357481122,172,28,0.29764355497900397,576,663
0.08,19200,,-95.72,,,95.8,,176,28,,,673
0.08,19200,,-95.72,,,95.8,,180,28,,,673
0.08,19200,,-95.72,,,95.8,,184,28,,,673
0.08,19200,,-95.72,,,95.8,,188,28,,,673
0.08,19200,,-95.72,,,95.8,,192,28,,,673
0.09,20224,,-95.11,,,95.2,,196,29,,,694
0.07,20704,0.0001,-96.18,-0.3069221265614033,-16.396316289901733,96.25,0.9410392213612795,200,28,0.3374274985399097,640,735
0.07,20992,,-96.2,,,96.27,,204,28,,,742
0.09,22272,,-95.88,,,95.97,,208,28,,,768
0.09,22400,,-95.88,,,95.97,,212,29,,,771
0.09,22400,,-95.88,,,95.97,,216,29,,,771
0.09,22400,,-95.88,,,95.97,,220,29,,,771
0.09,22400,,-95.88,,,95.97,,224,29,,,771
0.09,23424,0.0001,-95.88,-0.3392731724306941,-16.77393227815628,95.97,0.9350357102230191,228,28,0.2829831837443635,704,823
0.08,23904,,-96.42,,,96.5,,232,28,,,833
0.09,24192,,-95.97,,,96.06,,236,28,,,841
0.09,24800,0.0001,-96.02,-0.37154038855805993,-17.03674066066742,96.11,0.929070477373898,240,28,0.3809171449393034,768,884
0.11,25472,,-94.98,,,95.09,,244,28,,,898
0.11,25600,,-94.98,,,95.09,,248,28,,,901
0.11,25600,,-94.98,,,95.09,,252,28,,,901
0.11,25600,,-94.98,,,95.09,,256,28,,,901
0.11,26304,,-94.98,,,95.09,,260,28,,,916
0.1,27104,0.0001,-95.67,-0.40390070248395205,-17.16764698922634,95.77,0.9231426995247602,264,28,0.5361410344485193,832,963
0.1,27360,,-95.82,,,95.92,,268,28,,,970
0.1,27776,,-95.94,,,96.04,,272,28,,,979
0.11,28128,,-95.65,,,95.76,,276,28,,,988
0.11,28800,0.0001,-95.65,-0.4362161746248603,-17.13229951262474,95.76,0.9172534393146634,280,27,0.29761549131944776,896,1033
0.11,28800,,-95.65,,,95.76,,284,27,,,1033
0.11,28800,,-95.65,,,95.76,,288,27,,,1033
0.11,29504,,-95.65,,,95.76,,292,28,,,1047
0.11,30016,,-95.8,,,95.91,,296,28,,,1059
0.11,30528,,-95.8,,,95.91,,300,28,,,1070
0.1,30816,0.0001,-96.26,-0.46851857053115964,-17.24430602788925,96.36,0.9114012755453587,304,27,0.28148024214897305,960,1107
0.09,31200,,-96.24,,,96.33,,308,27,,,1117
0.09,31872,,-96.24,,,96.33,,312,28,,,1131
0.09,32000,,-96.24,,,96.33,,316,28,,,1134
0.09,32000,,-96.24,,,96.33,,320,28,,,1134
0.09,32704,,-96.24,,,96.33,,324,28,,,1148
0.1,33184,0.0001,-95.54,-0.5008647665381432,-17.304304629564285,95.64,0.9055873770266771,328,27,0.2895916460547596,1024,1190
0.11,33568,,-95.01,,,95.12,,332,28,,,1198
0.1,33792,,-95.46,,,95.56,,336,28,,,1204
0.09,34176,,-95.84,,,95.93,,340,28,,,1212
0.07,34912,0.0001,-96.88,-0.5332075450569391,-17.314699411392212,96.95,0.8998095076531172,344,27,0.28045493259560317,1088,1260
0.07,35200,,-96.88,,,96.95,,348,27,,,1266
0.07,35200,,-96.88,,,96.95,,352,27,,,1266
0.08,35264,,-96.45,,,96.53,,356,27,,,1267
0.08,36192,,-96.45,,,96.53,,360,28,,,1287
0.08,36768,,-96.45,,,96.53,,364,28,,,1300
0.07,36992,0.0001,-96.92,-0.5654712794348598,-17.267283499240875,96.99,0.8940688418224454,368,27,0.36650710948742926,1152,1337
0.06,37376,,-97.25,,,97.31,,372,27,,,1345
0.05,38112,,-97.54,,,97.59,,376,27,,,1362
0.05,38400,,-97.54,,,97.59,,380,28,,,1368
0.05,38400,,-97.54,,,97.59,,384,28,,,1368
0.05,38464,,-97.54,,,97.59,,388,28,,,1370
0.06,39264,0.0001,-96.98,-0.5977818453684449,-17.215624153614044,97.04,0.8883655043318868,392,27,0.2802209893707186,1216,1418
0.05,39904,,-97.44,,,97.49,,396,27,,,1432
0.05,40160,,-97.44,,,97.49,,400,27,,,1439
0.05,40576,,-97.44,,,97.49,,404,28,,,1449
0.04,41312,0.0001,-97.78,-0.6301753493025899,-17.127899557352066,97.82,0.8826984642073512,408,27,0.282250496908091,1280,1512
0.04,41600,,-97.7,,,97.74,,412,27,,,1518
0.04,41600,,-97.7,,,97.74,,416,27,,,1518
0.04,41664,,-97.7,,,97.74,,420,27,,,1520
0.05,42304,,-97.19,,,97.24,,424,27,,,1534
0.04,42816,,-97.89,,,97.93,,428,27,,,1546
0.04,43296,0.0001,-97.97,-0.6623928248882294,-17.02161055803299,98.01,0.8770672995597124,432,27,0.2900269472738728,1344,1588
0.04,43744,,-97.97,,,98.01,,436,27,,,1598
0.04,44128,,-97.97,,,98.01,,440,27,,,1607
0.04,44800,,-97.97,,,98.01,,444,27,,,1622
0.04,44800,,-97.97,,,98.01,,448,27,,,1622
0.04,44864,,-97.97,,,98.01,,452,27,,,1624
0.04,45408,0.0001,-97.92,-0.6948796072974801,-16.896970957517624,97.96,0.8714718231931329,456,27,0.28331199230160564,1408,1667
0.04,45984,,-97.92,,,97.96,,460,27,,,1680
0.04,46368,,-97.92,,,97.96,,464,27,,,1689
0.05,46816,,-97.4,,,97.45,,468,27,,,1699
0.05,47200,0.0001,-97.4,-0.7269907994195819,-16.757471591234207,97.45,0.8659119019284844,472,27,0.26259922538883984,1472,1739
0.05,48000,,-97.4,,,97.45,,476,27,,,1756
0.05,48000,,-97.4,,,97.45,,480,27,,,1756
0.05,48000,,-97.4,,,97.45,,484,27,,,1756
0.05,48608,,-97.4,,,97.45,,488,27,,,1770
0.04,49184,0.0001,-97.96,-0.7594060450792313,-16.61210224032402,98.0,0.8603884521871805,492,27,0.2444344311952591,1536,1813
0.05,49536,,-97.67,,,97.72,,496,27,,,1822
0.05,49760,,-97.67,,,97.72,,500,27,,,1827
0.06,50368,,-96.99,,,97.05,,504,27,,,1841
0.06,51072,,-96.99,,,97.05,,508,27,,,1857
0.06,51200,,-97.07,,,97.13,,512,27,,,1860
0.06,51200,,-97.07,,,97.13,,516,27,,,1860
0.06,51456,0.0001,-97.07,-0.7918450888246298,-16.46160650253296,97.13,0.8548993244767189,520,27,0.23700512968935072,1600,1896
0.05,52192,,-97.58,,,97.63,,524,27,,,1912
0.05,52736,,-97.58,,,97.63,,528,27,,,1925
0.05,52960,,-97.51,,,97.56,,532,27,,,1931
0.06,53440,0.0001,-97.2,-0.8242454659193754,-16.29528421163559,97.26,0.8494445774704218,536,27,0.23177342198323458,1664,1971
0.06,53728,,-97.2,,,97.26,,540,27,,,1978
0.07,54400,,-96.89,,,96.96,,544,27,,,1993
0.07,54400,,-96.89,,,96.96,,548,27,,,1993
0.07,54624,,-96.89,,,96.96,,552,27,,,1998
0.06,55392,0.0001,-97.37,-0.856486733071506,-16.120438933372498,97.43,0.8440243545919657,556,27,0.25643704063259065,1728,2045
0.07,55904,,-97.08,,,97.15,,560,27,,,2056
0.07,56128,,-97.08,,,97.15,,564,27,,,2062
0.06,56544,,-97.6,,,97.66,,568,27,,,2072
0.06,56928,,-97.6,,,97.66,,572,27,,,2080
0.07,57472,0.0001,-97.06,-0.8886385494843125,-15.931751668453217,97.13,0.8386398190632463,576,27,0.2656706119887531,1792,2123
0.07,57600,,-97.06,,,97.13,,580,27,,,2126
0.07,57600,,-97.06,,,97.13,,584,27,,,2126
0.07,58464,,-97.06,,,97.13,,588,27,,,2144
0.07,59104,,-97.05,,,97.12,,592,27,,,2158
0.06,59328,,-97.34,,,97.4,,596,27,,,2164
0.06,59744,0.0001,-97.34,-0.9212647173553705,-15.705395728349686,97.4,0.8332898318767548,600,27,0.2243675721110776,1856,2203
0.05,60128,,-98.02,,,98.07,,604,27,,,2212
0.05,60640,,-97.97,,,98.02,,608,27,,,2223
0.05,60800,,-97.97,,,98.02,,612,27,,,2227
0.05,60800,,-97.97,,,98.02,,616,27,,,2227
0.06,61504,0.0001,-97.78,-0.9533772980794311,-15.494569435715675,97.84,0.827972961589694,620,27,0.25008091097697616,1920,2273
0.07,62240,,-97.22,,,97.29,,624,27,,,2289
0.07,62432,,-97.22,,,97.29,,628,27,,,2294
0.06,62816,,-97.74,,,97.8,,632,27,,,2302
0.06,63168,,-97.74,,,97.8,,636,27,,,2311
0.05,63712,0.0001,-97.99,-0.9857199853286147,-15.312090769410133,98.04,0.8226909218356013,640,27,0.2236886015161872,1984,2353
0.04,64000,,-98.3,,,98.34,,644,27,,,2360
0.04,64000,,-98.3,,,98.34,,648,27,,,2360
0.04,64704,,-98.29,,,98.33,,652,27,,,2375
0.04,65440,,-98.29,,,98.33,,656,27,,,2391
0.03,65632,0.0001,-98.58,-1.0180854797363281,-15.111666336655617,98.61,0.8174422867596149,660,27,0.2636128799058497,2048,2427
0.04,65984,,-98.19,,,98.23,,664,27,,,2435
0.04,66240,,-98.19,,,98.23,,668,27,,,2441
0.04,66848,,-98.19,,,98.23,,672,27,,,2454
0.04,67072,,-98.09,,,98.13,,676,27,,,2459
0.04,67200,,-98.09,,,98.13,,680,27,,,2462
0.05,67424,,-97.49,,,97.54,,684,27,,,2467
0.06,68096,0.0001,-97.06,-1.050358273088932,-14.918757975101471,97.12,0.8122275546193123,688,27,0.22765855281613767,2112,2512
0.08,68544,,-96.2,,,96.28,,692,27,,,2523
0.08,68768,,-96.2,,,96.28,,696,27,,,2528
0.1,68960,,-95.33,,,95.43,,700,27,,,2533
0.1,69568,,-95.33,,,95.43,,704,27,,,2546
0.11,70048,0.0001,-94.75,-1.0827286150306463,-14.724644958972931,94.86,0.8070457223802805,708,27,0.22811867529526353,2176,2587
0.11,70400,,-94.75,,,94.86,,712,27,,,2595
0.11,70496,,-94.75,,,94.86,,716,27,,,2597
0.11,71104,,-94.66,,,94.77,,720,27,,,2611
0.1,71520,,-95.22,,,95.32,,724,27,,,2621
0.1,71968,0.0001,-95.22,-1.1151273678988218,-14.51693145930767,95.32,0.8018972240388393,728,27,0.22672903875354677,2240,2661
0.11,72160,,-94.76,,,94.87,,732,27,,,2666
0.11,72640,,-94.76,,,94.87,,736,27,,,2676
0.11,73216,,-94.82,,,94.93,,740,27,,,2689
0.11,73472,,-94.82,,,94.93,,744,27,,,2696
0.11,73696,,-94.82,,,94.93,,748,27,,,2701
0.11,74304,0.0001,-94.83,-1.1476088110357523,-14.32791405916214,94.94,0.7967804651707411,752,27,0.1900968519039452,2304,2744
0.11,74720,,-94.83,,,94.94,,756,27,,,2754
0.12,75136,,-94.32,,,94.44,,760,27,,,2764
0.11,75360,,-94.71,,,94.82,,764,27,,,2769
0.11,75744,,-94.71,,,94.82,,768,27,,,2778
0.11,76160,0.0001,-94.71,-1.1796695161610842,-14.132729321718216,94.82,0.7916967691853642,772,27,0.20067140914034098,2368,2818
0.1,76672,,-95.35,,,95.45,,776,27,,,2829
0.1,76896,,-95.35,,,95.45,,780,27,,,2834
0.09,77504,,-95.95,,,96.04,,784,27,,,2848
0.08,77920,0.0001,-96.38,-1.2122851125895977,-13.941100984811783,96.46,0.7866456061601639,788,26,0.176289243507199,2432,2887
0.06,78336,,-97.25,,,97.31,,792,27,,,2897
0.05,78560,,-97.66,,,97.71,,796,27,,,2903
0.06,78592,,-97.33,,,97.39,,800,27,,,2904
0.07,79040,,-96.81,,,96.88,,804,27,,,2913
0.07,79456,,-96.7,,,96.77,,808,27,,,2923
0.07,80000,0.0001,-96.7,-1.244291853159666,-13.749959349632263,96.77,0.7816264508292079,812,26,0.18417760299053043,2496,2966
0.07,80608,,-96.7,,,96.77,,816,27,,,2978
0.06,80992,,-96.98,,,97.04,,820,27,,,2987
0.07,81280,,-96.62,,,96.69,,824,27,,,2995
0.07,81632,,-96.62,,,96.69,,828,27,,,3003
0.06,81760,,-97.08,,,97.14,,832,27,,,3006
0.07,82144,0.0001,-96.69,-1.2769869342446327,-13.533099368214607,96.76,0.7766399821266532,836,26,0.20463089598342776,2560,3045
0.07,82560,,-96.69,,,96.76,,840,27,,,3055
0.07,83200,,-96.69,,,96.76,,844,27,,,3069
0.08,83776,,-96.35,,,96.43,,848,27,,,3082
0.08,84096,0.0001,-96.35,-1.3091541677713394,-13.321844637393951,96.43,0.7716846158728004,852,26,0.18604274140670896,2624,3119
0.08,84416,,-96.35,,,96.43,,856,26,,,3127
0.08,84768,,-96.15,,,96.23,,860,27,,,3135
0.08,84960,,-96.15,,,96.23,,864,27,,,3140
0.08,85216,,-96.15,,,96.23,,868,27,,,3146
0.08,85728,,-96.15,,,96.23,,872,27,,,3158
0.09,86112,0.0001,-95.63,-1.341453479602933,-13.143153607845306,95.72,0.7667613504454494,876,26,0.16362781403586268,2688,3197
0.09,86496,,-95.63,,,95.72,,880,26,,,3206
0.09,87264,,-95.63,,,95.72,,884,27,,,3223
0.09,87520,,-95.63,,,95.72,,888,27,,,3229
0.1,87968,,-94.89,,,94.99,,892,27,,,3239
