train/ent_coef_loss,train/critic_loss,time/episodes,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate
-0.01598249610651692,0.5382860729005188,4,2400,0.0001,12,199,54.75,0.9968417212367058,64,-53.75,-4.5334441270679235,1.0
,,8,3200,,14,216,94.125,,,-94.0,,0.125
,,12,3200,,14,216,94.125,,,-94.0,,0.125
,,16,3200,,14,216,94.125,,,-94.0,,0.125
,,20,3200,,14,216,94.125,,,-94.0,,0.125
,,24,3200,,14,216,94.125,,,-94.0,,0.125
,,28,3200,,14,216,94.125,,,-94.0,,0.125
,,32,3200,,14,216,94.125,,,-94.0,,0.125
-0.04844427009811625,0.1803936364594847,36,4672,0.0001,11,394,90.13888888888889,0.9904560521245003,128,-89.94444444444444,-7.714915283024311,0.19444444444444445
-0.08084433898329735,0.28618431568611413,40,6176,0.0001,10,573,91.125,0.984124512411654,192,-90.95,-10.505684033036232,0.175
,,44,6400,,11,578,94.453125,,,-94.34375,,0.109375
,,48,6400,,11,578,94.453125,,,-94.34375,,0.109375
,,52,6400,,11,578,94.453125,,,-94.34375,,0.109375
,,56,6400,,11,578,94.453125,,,-94.34375,,0.109375
,,60,6400,,11,578,94.453125,,,-94.34375,,0.109375
,,64,6400,,11,578,94.453125,,,-94.34375,,0.109375
,,68,7808,,12,608,93.86764705882354,,,-93.75,,0.11764705882352941
,,72,8032,,13,613,92.83333333333333,,,-92.69444444444444,,0.1388888888888889
-0.11320108931977302,0.5468650105176494,76,8800,0.0001,11,776,92.47368421052632,0.9778385646641254,256,-92.3157894736842,-13.064851224422455,0.15789473684210525
,,80,9600,,12,793,93.37113402061856,,,-93.22680412371135,,0.14432989690721648
,,84,9600,,12,793,93.37113402061856,,,-93.22680412371135,,0.14432989690721648
,,88,9600,,12,793,93.37113402061856,,,-93.22680412371135,,0.14432989690721648
,,92,9600,,12,793,93.37113402061856,,,-93.22680412371135,,0.14432989690721648
,,96,9600,,12,793,93.37113402061856,,,-93.22680412371135,,0.14432989690721648
-0.14555076626129448,0.44325062236748636,100,10976,0.0001,11,968,93.57,0.9715950610116124,320,-93.43,-15.001566514372826,0.14
,,104,11200,,11,973,94.88,,,-94.77,,0.11
,,108,11744,,11,985,93.99,,,-93.86,,0.13
-0.1778442063368857,0.4293781068408862,112,12320,0.0001,10,1145,93.99,0.9653929742053151,384,-93.86,-15.88476873934269,0.13
,,116,12800,,11,1155,93.35,,,-93.21,,0.14
,,120,12800,,11,1155,93.35,,,-93.21,,0.14
,,124,12800,,11,1155,93.35,,,-93.21,,0.14
,,128,12800,,11,1155,93.35,,,-93.21,,0.14
