train/learning_rate,time/total_timesteps,rollout/success_rate,train/n_updates,train/actor_loss,time/time_elapsed,time/episodes,train/ent_coef,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/ent_coef_loss,time/fps
0.0001,2912,0.75,64,-4.350112847983837,95,4,0.9968460267409682,-62.5,0.270443249726668,63.25,-0.01595612576147687,30
,3200,0.09375,,,102,8,,-95.3125,,95.40625,,31
,3200,0.09375,,,102,12,,-95.3125,,95.40625,,31
,3200,0.09375,,,102,16,,-95.3125,,95.40625,,31
,3200,0.09375,,,102,20,,-95.3125,,95.40625,,31
,3200,0.09375,,,102,24,,-95.3125,,95.40625,,31
,3200,0.09375,,,102,28,,-95.3125,,95.40625,,31
,3200,0.09375,,,102,32,,-95.3125,,95.40625,,31
0.0001,5280,0.1388888888888889,128,-6.63468686491251,180,36,0.9904691576957703,-92.69444444444444,0.12466742121614516,92.83333333333333,-0.048371143755503,29
0.0001,6400,0.078125,192,-8.599727362394333,239,40,0.9841412762179971,-95.890625,0.16694497340358794,95.96875,-0.08075230347458273,26
,6400,0.078125,,,239,44,,-95.890625,,95.96875,,26
,6400,0.078125,,,239,48,,-95.890625,,95.96875,,26
,6400,0.078125,,,239,52,,-95.890625,,95.96875,,26
,6400,0.078125,,,239,56,,-95.890625,,95.96875,,26
,6400,0.078125,,,239,60,,-95.890625,,95.96875,,26
,6400,0.078125,,,239,64,,-95.890625,,95.96875,,26
,7872,0.10144927536231885,,,270,68,,-94.6086956521739,,94.71014492753623,,29
0.0001,8672,0.1111111111111111,256,-10.34846168756485,321,72,0.9778573298826814,-94.09722222222223,0.20092671178281307,94.20833333333333,-0.11309707979671657,26
,9600,0.09375,,,341,76,,-95.36458333333333,,95.45833333333333,,28
,9600,0.09375,,,341,80,,-95.36458333333333,,95.45833333333333,,28
,9600,0.09375,,,341,84,,-95.36458333333333,,95.45833333333333,,28
,9600,0.09375,,,341,88,,-95.36458333333333,,95.45833333333333,,28
,9600,0.09375,,,341,92,,-95.36458333333333,,95.45833333333333,,28
,9600,0.09375,,,341,96,,-95.36458333333333,,95.45833333333333,,28
0.0001,11072,0.08,320,-11.861717164516449,407,100,0.9716150844469666,-96.3,0.20730654301587492,96.38,-0.1454393328167498,27
,11168,0.08,,,409,104,,-96.17,,96.25,,27
,11872,0.1,,,425,108,,-95.19,,95.29,,27
0.0001,12800,0.11,384,-13.096991539001465,480,112,0.9654139215126634,-94.53,0.2667657145066187,94.64,-0.17772654863074422,26
,12800,0.11,,,480,116,,-94.53,,94.64,,26
,12800,0.11,,,480,120,,-94.53,,94.64,,26
,12800,0.11,,,480,124,,-94.53,,94.64,,26
,12800,0.11,,,480,128,,-94.53,,94.64,,26
,13984,0.13,,,504,132,,-93.55,,93.68,,27
,14272,0.12,,,510,136,,-94.1,,94.22,,27
0.0001,14432,0.12,448,-14.115879848599434,550,140,0.9592535113915801,-94.1,0.2817400039639324,94.22,-0.21008965466171503,26
,15072,0.15,,,564,144,,-92.64,,92.79,,26
,16000,0.15,,,583,148,,-92.64,,92.79,,27
,16000,0.15,,,583,152,,-92.64,,92.79,,27
,16000,0.15,,,583,156,,-92.64,,92.79,,27
,16000,0.15,,,583,160,,-92.64,,92.79,,27
0.0001,16640,0.16,512,-14.946717768907547,632,164,0.9531315565109253,-92.33,0.3502904064953327,92.49,-0.24247158411890268,26
,17152,0.17,,,644,168,,-91.67,,91.84,,26
,17472,0.15,,,651,172,,-92.4,,92.55,,26
,17632,0.16,,,655,176,,-91.89,,92.05,,26
,18112,0.17,,,666,180,,-91.53,,91.7,,27
0.0001,19104,0.19,576,-15.60772293806076,723,184,0.9470483791083097,-90.45,0.4259390530642122,90.64,-0.2748182690702379,26
,19200,0.19,,,725,188,,-90.45,,90.64,,26
,19200,0.19,,,725,192,,-90.45,,90.64,,26
,19200,0.19,,,725,196,,-90.45,,90.64,,26
,20192,0.19,,,746,200,,-90.45,,90.64,,27
0.0001,20576,0.17,640,-16.11639368534088,790,204,0.9410045659169555,-91.33,0.40387608646415174,91.5,-0.30710721388459206,26
,20832,0.15,,,796,208,,-92.31,,92.46,,26
,21312,0.14,,,807,212,,-92.97,,93.11,,26
,22016,0.15,,,823,216,,-92.7,,92.85,,26
,22400,0.17,,,832,220,,-92.06,,92.23,,26
,22400,0.17,,,832,224,,-92.06,,92.23,,26
,22400,0.17,,,832,228,,-92.06,,92.23,,26
0.0001,23040,0.16,704,-16.57698518037796,881,232,0.9350004764273763,-92.5,0.38690207491163164,92.66,-0.3394620483741164,26
,23552,0.15,,,892,236,,-93.08,,93.23,,26
,24000,0.15,,,903,240,,-93.08,,93.23,,26
,24512,0.12,,,915,244,,-94.54,,94.66,,26
0.0001,25216,0.12,768,-16.873648554086685,965,248,0.9290349064394832,-94.54,0.4459485347615555,94.66,-0.37172414222732186,26
,25600,0.12,,,974,252,,-94.54,,94.66,,26
,25600,0.12,,,974,256,,-94.54,,94.66,,26
,25600,0.12,,,974,260,,-94.54,,94.66,,26
,26240,0.11,,,988,264,,-94.85,,94.96,,26
0.0001,26688,0.09,832,-17.106136441230774,1034,268,0.9231068240478635,-95.93,0.35071415710262954,96.02,-0.4040907369926572,25
,27072,0.09,,,1043,272,,-95.93,,96.02,,25
,27232,0.1,,,1047,276,,-95.46,,95.56,,25
,27712,0.1,,,1058,280,,-95.38,,95.48,,26
,28288,0.09,,,1071,284,,-95.97,,96.06,,26
0.0001,28800,0.09,896,-17.243255257606506,1118,288,0.9172174064442515,-95.97,0.4112649734597653,96.06,-0.4363981722854078,25
,28800,0.09,,,1118,292,,-95.97,,96.06,,25
,29184,0.1,,,1126,296,,-95.21,,95.31,,25
,29440,0.12,,,1133,300,,-94.12,,94.24,,25
,29952,0.12,,,1145,304,,-94.12,,94.24,,26
,30400,0.12,,,1155,308,,-94.12,,94.24,,26
,30464,0.13,,,1157,312,,-93.79,,93.92,,26
0.0001,31072,0.12,960,-17.31635046005249,1205,316,0.9113651560619473,-94.06,0.42224953160621226,94.18,-0.4687074772082269,25
,32000,0.1,,,1225,320,,-94.7,,94.8,,26
,32000,0.1,,,1225,324,,-94.7,,94.8,,26
,32384,0.1,,,1233,328,,-94.7,,94.8,,26
,32640,0.09,,,1240,332,,-95.24,,95.33,,26
0.0001,33152,0.09,1024,-17.357909619808197,1287,336,0.9055511774495244,-95.24,0.39166787976864725,95.33,-0.5010386272333562,25
,33472,0.1,,,1294,340,,-94.61,,94.71,,25
,33632,0.1,,,1298,344,,-94.61,,94.71,,25
,33824,0.12,,,1304,348,,-93.67,,93.79,,25
0.0001,34848,0.12,1088,-17.370889991521835,1360,352,0.8997734105214477,-93.67,0.44332840701099485,93.79,-0.5333771267905831,25
,35200,0.12,,,1368,356,,-93.67,,93.79,,25
,35296,0.12,,,1371,360,,-93.67,,93.79,,25
,35840,0.12,,,1383,364,,-93.67,,93.79,,25
,36352,0.11,,,1394,368,,-94.34,,94.45,,26
,36576,0.12,,,1400,372,,-93.83,,93.95,,26
,36832,0.1,,,1406,376,,-94.81,,94.91,,26
0.0001,36960,0.09,1152,-17.351919263601303,1445,380,0.8940329095348716,-95.25,0.3628226149594411,95.34,-0.565640146844089,25
,37472,0.08,,,1456,384,,-95.74,,95.82,,25
,38400,0.09,,,1476,388,,-95.34,,95.43,,26
,38400,0.09,,,1476,392,,-95.34,,95.43,,26
0.0001,38976,0.08,1216,-17.31716078519821,1524,396,0.8883297117426991,-96.1,0.3305085313040763,96.18,-0.5979451155290008,25
,39488,0.06,,,1535,400,,-97.19,,97.25,,25
,39648,0.07,,,1540,404,,-96.55,,96.62,,25
,40000,0.07,,,1548,408,,-96.55,,96.62,,25
,40096,0.06,,,1551,412,,-96.88,,96.94,,25
,40480,0.06,,,1560,416,,-96.88,,96.94,,25
0.0001,41600,0.06,1280,-17.239778637886047,1619,420,0.8826628867536783,-96.88,0.33924236020538956,96.94,-0.6303203925490379,25
,41600,0.06,,,1619,424,,-96.88,,96.94,,25
,42112,0.07,,,1630,428,,-96.51,,96.58,,25
,42624,0.07,,,1641,432,,-96.51,,96.58,,25
,42816,0.07,,,1647,436,,-96.51,,96.58,,25
0.0001,43072,0.07,1344,-17.13537374138832,1689,440,0.8770320601761341,-96.54,0.3592394303996116,96.61,-0.6625316822901368,25
,43264,0.07,,,1694,444,,-96.54,,96.61,,25
,43424,0.05,,,1698,448,,-97.48,,97.53,,25
,44640,0.06,,,1724,452,,-96.86,,96.92,,25
,44800,0.06,,,1728,456,,-96.86,,96.92,,25
0.0001,45280,0.07,1408,-17.03596782684326,1774,460,0.8714370038360357,-96.21,0.28528255980927497,96.28,-0.6949983946979046,25
,45376,0.07,,,1776,464,,-96.21,,96.28,,25
,45888,0.07,,,1788,468,,-96.21,,96.28,,25
,46176,0.06,,,1795,472,,-96.72,,96.78,,25
,46432,0.06,,,1801,476,,-96.72,,96.78,,25
,46624,0.06,,,1806,480,,-96.72,,96.78,,25
0.0001,47296,0.07,1472,-16.885380059480667,1856,484,0.8658774187788367,-96.22,0.329929523402825,96.29,-0.7271177368238568,25
,47840,0.09,,,1869,488,,-94.88,,94.97,,25
,48000,0.09,,,1873,492,,-94.88,,94.97,,25
,48480,0.09,,,1884,496,,-94.88,,94.97,,25
,48640,0.09,,,1888,500,,-94.88,,94.97,,25
0.0001,49184,0.08,1536,-16.712296694517136,1935,504,0.8603542800992727,-95.52,0.30493758665397763,95.6,-0.7595196412876248,25
,49632,0.08,,,1944,508,,-95.52,,95.6,,25
,49824,0.08,,,1949,512,,-95.52,,95.6,,25
,50272,0.09,,,1959,516,,-95.06,,95.15,,25
,50624,0.1,,,1967,520,,-94.67,,94.77,,25
,51200,0.09,,,1981,524,,-95.04,,95.13,,25
0.0001,51296,0.09,1600,-16.531619042158127,2018,528,0.8548655295744538,-95.04,0.34402777277864516,95.13,-0.7919518733397126,25
,51680,0.1,,,2027,532,,-94.38,,94.48,,25
,52224,0.12,,,2039,536,,-93.6,,93.72,,25
,52576,0.11,,,2047,540,,-94.2,,94.31,,25
,52896,0.11,,,2054,544,,-94.14,,94.25,,25
0.0001,53312,0.11,1664,-16.381349623203278,2099,548,0.8494112202897668,-94.14,0.30309909430798143,94.25,-0.8243446070700884,25
,53824,0.1,,,2111,552,,-94.76,,94.86,,25
,54400,0.1,,,2124,556,,-95.03,,95.13,,25
,54432,0.11,,,2125,560,,-94.53,,94.64,,25
,54880,0.1,,,2135,564,,-94.91,,95.01,,25
0.0001,55392,0.1,1728,-16.212462961673737,2181,568,0.8439913773909211,-94.91,0.30117458780296147,95.01,-0.8565740343183279,25
,55584,0.1,,,2187,572,,-94.91,,95.01,,25
,56096,0.1,,,2198,576,,-94.91,,95.01,,25
,56512,0.1,,,2208,580,,-94.85,,94.95,,25
,56960,0.11,,,2218,584,,-94.19,,94.3,,25
,57184,0.09,,,2224,588,,-95.44,,95.53,,25
0.0001,57472,0.11,1792,-16.048794895410538,2266,592,0.8386072888970375,-94.25,0.35992614924907684,94.36,-0.8887069877237082,25
,57600,0.11,,,2269,596,,-94.25,,94.36,,25
,57952,0.11,,,2277,600,,-94.25,,94.36,,25
,58592,0.11,,,2291,604,,-94.25,,94.36,,25
,59168,0.12,,,2304,608,,-93.73,,93.85,,25
0.0001,59424,0.12,1856,-15.857400745153427,2345,612,0.8332577981054783,-93.73,0.2720614169957116,93.85,-0.9213350163772702,25
,60096,0.12,,,2360,616,,-93.76,,93.88,,25
,60224,0.11,,,2363,620,,-94.15,,94.26,,25
,60640,0.11,,,2372,624,,-94.15,,94.26,,25
,60800,0.1,,,2377,628,,-94.81,,94.91,,25
,60992,0.1,,,2381,632,,-94.81,,94.91,,25
0.0001,61568,0.1,1920,-15.706615954637527,2430,636,0.8279413487762213,-94.53,0.28460399026516825,94.63,-0.9534421619027853,25
,61856,0.11,,,2436,640,,-93.83,,93.94,,25
