train/ent_coef_loss,time/fps,train/n_updates,train/ent_coef,train/critic_loss,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,train/actor_loss,rollout/ep_rew_mean,train/learning_rate
-0.01592267838168482,41,64,0.9968538526445627,0.4091737086419016,4,77,96.5,3200,0.0625,-3.1793102212250233,-96.4375,0.0001
,41,,,,8,77,96.5,3200,0.0625,,-96.4375,
,41,,,,12,77,96.5,3200,0.0625,,-96.4375,
,41,,,,16,77,96.5,3200,0.0625,,-96.4375,
,41,,,,20,77,96.5,3200,0.0625,,-96.4375,
,41,,,,24,77,96.5,3200,0.0625,,-96.4375,
,41,,,,28,77,96.5,3200,0.0625,,-96.4375,
,41,,,,32,77,96.5,3200,0.0625,,-96.4375,
-0.04827196366386488,36,128,0.9904895396903157,0.11075197497848421,36,134,92.55555555555556,4928,0.1388888888888889,-5.388850428164005,-92.41666666666667,0.0001
-0.08062172192148864,33,192,0.984167905524373,0.13714370969682932,40,188,95.8125,6400,0.078125,-7.3023688569664955,-95.734375,0.0001
,33,,,,44,188,95.8125,6400,0.078125,,-95.734375,
,33,,,,48,188,95.8125,6400,0.078125,,-95.734375,
,33,,,,52,188,95.8125,6400,0.078125,,-95.734375,
,33,,,,56,188,95.8125,6400,0.078125,,-95.734375,
,33,,,,60,188,95.8125,6400,0.078125,,-95.734375,
,33,,,,64,188,95.8125,6400,0.078125,,-95.734375,
,37,,,,68,207,94.0,7776,0.11764705882352941,,-93.88235294117646,
-0.1129487082362175,34,256,0.9778877887874842,0.14743580855429173,72,253,93.19444444444444,8640,0.1388888888888889,-8.863946095108986,-93.05555555555556,0.0001
,35,,,,76,267,94.77083333333333,9600,0.11458333333333333,,-94.65625,
,35,,,,80,267,94.77083333333333,9600,0.11458333333333333,,-94.65625,
,35,,,,84,267,94.77083333333333,9600,0.11458333333333333,,-94.65625,
,35,,,,88,267,94.77083333333333,9600,0.11458333333333333,,-94.65625,
,35,,,,92,267,94.77083333333333,9600,0.11458333333333333,,-94.65625,
,35,,,,96,267,94.77083333333333,9600,0.11458333333333333,,-94.65625,
-0.1452789253089577,34,320,0.9716482507064939,0.16701216343790293,100,319,94.98,10976,0.11,-10.580982267856598,-94.87,0.0001
,34,,,,104,324,95.11,11232,0.11,,-95.0,
,35,,,,108,333,94.64,11904,0.12,,-94.52,
-0.1775500187650323,33,384,0.9654491497203708,0.21554059465415776,112,380,94.0,12800,0.13,-12.017742618918419,-93.87,0.0001
,33,,,,116,380,94.0,12800,0.13,,-93.87,
,33,,,,120,380,94.0,12800,0.13,,-93.87,
,33,,,,124,380,94.0,12800,0.13,,-93.87,
,33,,,,128,380,94.0,12800,0.13,,-93.87,
,35,,,,132,396,93.68,14016,0.14,,-93.54,
,35,,,,136,401,94.67,14304,0.12,,-94.55,
-0.20990244532004,33,448,0.9592905016615987,0.2625307325506583,140,439,94.24,14624,0.13,-13.202861070632935,-94.11,0.0001
,34,,,,144,452,93.9,15552,0.14,,-93.76,
,34,,,,148,459,93.41,16000,0.15,,-93.26,
,34,,,,152,459,93.41,16000,0.15,,-93.26,
,34,,,,156,459,93.41,16000,0.15,,-93.26,
,34,,,,160,459,93.41,16000,0.15,,-93.26,
-0.2422761465422809,32,512,0.9531699595972896,0.28597525449004024,164,499,93.08,16448,0.16,-14.180716097354889,-92.92,0.0001
,33,,,,168,510,93.11,17216,0.15,,-92.96,
,33,,,,172,514,93.0,17504,0.15,,-92.85,
,34,,,,176,518,92.62,17728,0.15,,-92.47,
,34,,,,180,526,92.19,18240,0.16,,-92.03,
-0.27460992336273193,33,576,0.9470879649743438,0.3563535896828398,184,568,90.6,18816,0.19,-14.957246601581573,-90.41,0.0001
,33,,,,188,573,90.6,19200,0.19,,-90.41,
,33,,,,192,573,90.6,19200,0.19,,-90.41,
,33,,,,196,573,90.6,19200,0.19,,-90.41,
,33,,,,200,580,90.18,19648,0.2,,-89.98,
-0.3068841826170683,32,640,0.9410452554002404,0.3797859260812402,204,628,91.17,20672,0.18,-15.56914746761322,-90.99,0.0001
,33,,,,208,630,91.13,20832,0.18,,-90.95,
,33,,,,212,637,91.77,21312,0.17,,-91.6,
,33,,,,216,644,91.77,21760,0.17,,-91.6,
,34,,,,220,648,91.77,22080,0.17,,-91.6,
,34,,,,224,653,91.69,22400,0.18,,-91.51,
,34,,,,228,653,91.69,22400,0.18,,-91.51,
-0.33922708546742797,32,704,0.9350422602146864,0.4186573715414852,232,691,91.39,22688,0.18,-16.057445481419563,-91.21,0.0001
,33,,,,236,704,91.44,23616,0.18,,-91.26,
,33,,,,240,709,91.87,23968,0.17,,-91.7,
,33,,,,244,712,91.75,24128,0.17,,-91.58,
-0.37149649020284414,32,768,0.9290774492546916,0.47986105107702315,248,754,92.24,24736,0.16,-16.426926642656326,-92.08,0.0001
,33,,,,252,762,92.24,25280,0.16,,-92.08,
,33,,,,256,767,91.65,25600,0.17,,-91.48,
,33,,,,260,767,91.65,25600,0.17,,-91.48,
,33,,,,264,769,91.98,25728,0.16,,-91.82,
,33,,,,268,776,92.88,26176,0.15,,-92.73,
-0.4038493540138006,32,832,0.9231499815359712,0.41443986841477454,272,822,93.81,27072,0.13,-16.710071951150894,-93.68,0.0001
,32,,,,276,825,94.31,27232,0.12,,-94.19,
,33,,,,280,834,94.27,27904,0.12,,-94.15,
,33,,,,284,839,94.37,28192,0.12,,-94.25,
,33,,,,288,843,94.97,28480,0.11,,-94.86,
-0.43613847764208913,32,896,0.9172611897811294,0.42601772013586015,292,881,94.97,28800,0.11,-16.91491574048996,-94.86,0.0001
,32,,,,296,881,94.97,28800,0.11,,-94.86,
,32,,,,300,888,95.39,29248,0.1,,-95.29,
,33,,,,304,899,94.89,30016,0.11,,-94.78,
,33,,,,308,904,94.87,30368,0.11,,-94.76,
,33,,,,312,907,94.87,30528,0.11,,-94.76,
-0.4684362872503698,32,960,0.91140959225595,0.4592107960488647,316,950,94.57,31168,0.12,-17.034428775310516,-94.45,0.0001
,33,,,,320,956,94.57,31616,0.12,,-94.45,
,33,,,,324,962,94.65,32000,0.11,,-94.54,
,33,,,,328,962,94.65,32000,0.11,,-94.54,
,33,,,,332,968,95.27,32448,0.1,,-95.17,
-0.5007571317255497,32,1024,0.9055961780250072,0.37692360568325967,336,1012,95.79,33216,0.09,-17.122551172971725,-95.7,0.0001
,32,,,,340,1018,95.79,33568,0.09,,-95.7,
,33,,,,344,1020,96.25,33728,0.08,,-96.17,
,33,,,,348,1029,96.25,34368,0.08,,-96.17,
,33,,,,352,1036,96.25,34816,0.08,,-96.17,
-0.5331094907596707,32,1088,0.8998188581317663,0.35089782532304525,356,1075,96.84,35200,0.07,-17.16092959046364,-96.77,0.0001
,32,,,,360,1075,96.84,35200,0.07,,-96.77,
,32,,,,364,1081,96.84,35648,0.07,,-96.77,
,33,,,,368,1092,97.31,36416,0.06,,-97.25,
,33,,,,372,1098,97.31,36768,0.06,,-97.25,
-0.565371953882277,32,1152,0.8940785909071565,0.39193701813928783,376,1134,97.43,36928,0.06,-17.15190440416336,-97.37,0.0001
,32,,,,380,1142,97.43,37504,0.06,,-97.37,
,33,,,,384,1149,98.32,38016,0.04,,-98.28,
,33,,,,388,1155,97.93,38400,0.05,,-97.88,
,33,,,,392,1155,97.93,38400,0.05,,-97.88,
,33,,,,396,1160,97.93,38720,0.05,,-97.88,
-0.5976529577746987,32,1216,0.8883756725117564,0.3374028087127954,400,1203,97.93,39424,0.05,-17.118921846151352,-97.88,0.0001
,32,,,,404,1211,98.43,39968,0.04,,-98.39,
,33,,,,408,1214,98.96,40128,0.03,,-98.93,
,33,,,,412,1222,98.96,40704,0.03,,-98.93,
-0.6300317524001002,32,1280,0.8827091213315725,0.34937566926237196,416,1263,99.26,41216,0.02,-17.051189482212067,-99.24,0.0001
,32,,,,420,1268,98.62,41568,0.03,,-98.59,
,32,,,,424,1269,98.62,41600,0.03,,-98.59,
,32,,,,428,1273,98.62,41888,0.03,,-98.59,
,33,,,,432,1278,98.32,42208,0.04,,-98.28,
,33,,,,436,1289,97.73,42976,0.05,,-97.68,
-0.6622528247535229,32,1344,0.8770784446969628,0.35124240815639496,440,1326,97.73,43232,0.05,-16.953692376613617,-97.68,0.0001
,32,,,,444,1331,97.73,43584,0.05,,-97.68,
,32,,,,448,1340,97.73,44192,0.05,,-97.68,
,33,,,,452,1344,97.73,44480,0.05,,-97.68,
,33,,,,456,1349,97.73,44800,0.05,,-97.68,
-0.6946773892268538,32,1408,0.8714835848659277,0.3346064913785085,460,1386,97.73,45088,0.05,-16.85263329744339,-97.68,0.0001
,32,,,,464,1391,97.73,45408,0.05,,-97.68,
,32,,,,468,1402,97.73,46176,0.05,,-97.68,
