time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/fps,train/actor_loss,train/ent_coef,rollout/success_rate,train/critic_loss,rollout/ep_rew_mean,time/episodes
2912,63,64,-0.015936155374220107,66.0,0.0001,46,-4.471001219004393,0.996850997209549,0.75,0.2557801546063274,-65.25,4
3200,67,,,95.75,,47,,,0.09375,,-95.65625,8
3200,67,,,95.75,,47,,,0.09375,,-95.65625,12
3200,67,,,95.75,,47,,,0.09375,,-95.65625,16
3200,67,,,95.75,,47,,,0.09375,,-95.65625,20
3200,67,,,95.75,,47,,,0.09375,,-95.65625,24
3200,67,,,95.75,,47,,,0.09375,,-95.65625,28
3200,67,,,95.75,,47,,,0.09375,,-95.65625,32
5504,122,128,-0.04830178746487945,93.08333333333333,0.0001,45,-6.921781502664089,0.990483078174293,0.1388888888888889,0.12344084098003805,-92.94444444444444,36
6400,158,192,-0.08065786422230303,96.109375,0.0001,40,-9.042937472462654,0.9841597462072968,0.078125,0.17487470235209912,-96.03125,40
6400,158,,,96.109375,,40,,,0.078125,,-96.03125,44
6400,158,,,96.109375,,40,,,0.078125,,-96.03125,48
6400,158,,,96.109375,,40,,,0.078125,,-96.03125,52
6400,158,,,96.109375,,40,,,0.078125,,-96.03125,56
6400,158,,,96.109375,,40,,,0.078125,,-96.03125,60
6400,158,,,96.109375,,40,,,0.078125,,-96.03125,64
7808,178,,,95.42647058823529,,43,,,0.08823529411764706,,-95.33823529411765,68
8704,214,256,-0.11298717453610152,93.91666666666667,0.0001,40,-10.810856446623802,0.9778787149116397,0.125,0.27613048849161714,-93.79166666666667,72
9120,220,,,92.8157894736842,,41,,,0.15789473684210525,,-92.65789473684211,76
9600,227,,,94.23711340206185,,42,,,0.13402061855670103,,-94.10309278350516,80
9600,227,,,94.23711340206185,,42,,,0.13402061855670103,,-94.10309278350516,84
9600,227,,,94.23711340206185,,42,,,0.13402061855670103,,-94.10309278350516,88
9600,227,,,94.23711340206185,,42,,,0.13402061855670103,,-94.10309278350516,92
9600,227,,,94.23711340206185,,42,,,0.13402061855670103,,-94.10309278350516,96
10816,268,320,-0.14531404036097229,93.73,0.0001,40,-12.239514857530594,0.9716386599466205,0.14,0.2392858355306089,-93.59,100
11296,275,,,94.62,,41,,,0.12,,-94.5,104
12000,285,,,94.62,,42,,,0.12,,-94.5,108
12800,320,384,-0.17759633087553084,94.62,0.0001,39,-13.437122002243996,0.9654390355572104,0.12,0.3318690466694534,-94.5,112
12800,320,,,94.62,,39,,,0.12,,-94.5,116
12800,320,,,94.62,,39,,,0.12,,-94.5,120
12800,320,,,94.62,,39,,,0.12,,-94.5,124
12800,320,,,94.62,,39,,,0.12,,-94.5,128
13568,331,,,93.68,,40,,,0.14,,-93.54,132
14176,339,,,94.24,,41,,,0.13,,-94.11,136
14624,370,448,-0.20994999050162733,93.35,0.0001,39,-14.45091299712658,0.9592797933146358,0.15,0.3126036389730871,-93.2,140
15200,378,,,93.35,,40,,,0.15,,-93.2,144
16000,389,,,93.35,,41,,,0.15,,-93.2,148
16000,389,,,93.35,,41,,,0.15,,-93.2,152
16000,389,,,93.35,,41,,,0.15,,-93.2,156
16000,389,,,93.35,,41,,,0.15,,-93.2,160
16640,422,512,-0.2423223804216832,92.82,0.0001,39,-15.278385952115059,0.9531588442623615,0.16,0.3394880535779521,-92.66,164
17216,431,,,92.76,,39,,,0.16,,-92.6,168
17536,436,,,94.03,,40,,,0.13,,-93.9,172
17824,440,,,94.0,,40,,,0.12,,-93.88,176
18400,448,,,93.62,,41,,,0.12,,-93.5,180
19200,483,576,-0.27467212500050664,92.56,0.0001,39,-15.916938409209251,0.947076428681612,0.14,0.41802866384387016,-92.42,184
19200,483,,,92.56,,39,,,0.14,,-92.42,188
