train/actor_loss,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,train/ent_coef,time/fps,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,train/n_updates
-4.5085972007364035,3168,0.25,-85.75,0.9968383852392435,14,86.0,-0.015999220240701106,4,0.0001,0.3571498985402286,215,64
,3200,0.03125,-98.21875,,14,98.25,,8,,,216,
,3200,0.03125,-98.21875,,14,98.25,,12,,,216,
,3200,0.03125,-98.21875,,14,98.25,,16,,,216,
,3200,0.03125,-98.21875,,14,98.25,,20,,,216,
,3200,0.03125,-98.21875,,14,98.25,,24,,,216,
,3200,0.03125,-98.21875,,14,98.25,,28,,,216,
,3200,0.03125,-98.21875,,14,98.25,,32,,,216,
-9.528943181037903,6240,0.05555555555555555,-96.83333333333333,0.984120624139905,10,96.88888888888889,-0.08084704587236047,36,0.0001,0.2068799112457782,596,192
,6400,0.03125,-98.21875,,10,98.25,,40,,,600,
,6400,0.03125,-98.21875,,10,98.25,,44,,,600,
,6400,0.03125,-98.21875,,10,98.25,,48,,,600,
,6400,0.03125,-98.21875,,10,98.25,,52,,,600,
,6400,0.03125,-98.21875,,10,98.25,,56,,,600,
,6400,0.03125,-98.21875,,10,98.25,,60,,,600,
,6400,0.03125,-98.21875,,10,98.25,,64,,,600,
,8128,0.058823529411764705,-96.86764705882354,,12,96.92647058823529,,68,,,630,
-13.367788881063461,9472,0.06944444444444445,-96.625,0.97783437743783,11,96.69444444444444,-0.11323745478875935,72,0.0001,0.9779711787123233,836,256
,9600,0.052083333333333336,-97.44791666666667,,11,97.5,,76,,,839,
,9600,0.052083333333333336,-97.44791666666667,,11,97.5,,80,,,839,
,9600,0.052083333333333336,-97.44791666666667,,11,97.5,,84,,,839,
,9600,0.052083333333333336,-97.44791666666667,,11,97.5,,88,,,839,
,9600,0.052083333333333336,-97.44791666666667,,11,97.5,,92,,,839,
,9600,0.052083333333333336,-97.44791666666667,,11,97.5,,96,,,839,
-15.93687790632248,11232,0.07,-96.37,0.9715897692367435,10,96.44,-0.14557775924913585,100,0.0001,0.9993239799514413,1031,320
,11392,0.08,-96.01,,11,96.09,,104,,,1034,
-16.38829703629017,12576,0.1,-95.23,0.9653873164206743,10,95.33,-0.1779287657700479,108,0.0001,0.38174088613595814,1216,384
,12768,0.1,-95.23,,10,95.33,,112,,,1220,
,12800,0.1,-95.23,,10,95.33,,116,,,1221,
,12800,0.1,-95.23,,10,95.33,,120,,,1221,
,12800,0.1,-95.23,,10,95.33,,124,,,1221,
,12800,0.1,-95.23,,10,95.33,,128,,,1221,
-16.83631008863449,14432,0.09,-95.73,0.9592250324785709,10,95.82,-0.21027829847298563,132,0.0001,0.39486847538501024,1412,448
,14592,0.09,-95.8,,10,95.89,,136,,,1415,
,15616,0.1,-95.41,,10,95.51,,140,,,1433,
,15936,0.1,-95.41,,11,95.51,,144,,,1439,
,16000,0.1,-95.41,,11,95.51,,148,,,1441,
,16000,0.1,-95.41,,11,95.51,,152,,,1441,
,16000,0.1,-95.41,,11,95.51,,156,,,1441,
,16000,0.1,-95.41,,11,95.51,,160,,,1441,
-17.23523497581482,17632,0.1,-95.41,0.9531022878363729,10,95.51,-0.24258988490328193,164,0.0001,0.3059004070237279,1631,512
,17792,0.08,-96.4,,10,96.48,,168,,,1634,
-17.551325172185898,18816,0.07,-96.7,0.9470199476927519,10,96.77,-0.27495152642950416,172,0.0001,0.3113056708825752,1814,576
,19136,0.07,-96.72,,10,96.79,,176,,,1820,
,19200,0.07,-96.71,,10,96.78,,180,,,1822,
,19200,0.07,-96.71,,10,96.78,,184,,,1822,
,19200,0.07,-96.71,,10,96.78,,188,,,1822,
,19200,0.07,-96.71,,10,96.78,,192,,,1822,
,20480,0.08,-96.15,,11,96.23,,196,,,1842,
-17.745176285505295,20832,0.08,-96.26,0.9409759640693665,10,96.34,-0.30731924064457417,200,0.0001,0.28854354470968246,2012,640
,21184,0.07,-96.77,,10,96.84,,204,,,2019,
,22016,0.06,-96.82,,10,96.88,,208,,,2034,
,22336,0.06,-96.82,,10,96.88,,212,,,2040,
,22400,0.06,-96.82,,10,96.88,,216,,,2042,
,22400,0.06,-96.82,,10,96.88,,220,,,2042,
,22400,0.06,-96.82,,10,96.88,,224,,,2042,
-17.90828013420105,23648,0.06,-96.82,0.9349710354581475,10,96.88,-0.33960134256631136,228,0.0001,0.35322184790857136,2225,704
,24032,0.06,-96.82,,10,96.88,,232,,,2232,
,24384,0.06,-96.82,,10,96.88,,236,,,2239,
-18.019511997699738,25216,0.06,-96.95,0.9290045853704214,10,97.01,-0.37196803046390414,240,0.0001,0.3158648065291345,2417,768
,25472,0.06,-96.95,,10,97.01,,244,,,2421,
,25600,0.06,-96.95,,10,97.01,,248,,,2424,
,25600,0.06,-96.95,,10,97.01,,252,,,2424,
,25600,0.06,-96.95,,10,97.01,,256,,,2424,
,26144,0.07,-96.58,,10,96.65,,260,,,2432,
-18.059695303440094,27040,0.08,-95.98,0.9230773216113448,10,96.06,-0.40415747091174126,264,0.0001,0.3235262323869392,2612,832
,27488,0.08,-95.98,,10,96.06,,268,,,2620,
,27872,0.1,-95.23,,10,95.33,,272,,,2627,
,28416,0.1,-95.23,,10,95.33,,276,,,2637,
,28672,0.11,-94.69,,10,94.8,,280,,,2642,
-18.06722843647003,28800,0.11,-94.69,0.9171884516254067,10,94.8,-0.43657762883231044,284,0.0001,0.38688424217980355,2807,896
,28800,0.11,-94.69,,10,94.8,,288,,,2807,
,28928,0.11,-94.69,,10,94.8,,292,,,2809,
,30080,0.11,-94.7,,10,94.81,,296,,,2828,
,30432,0.1,-95.24,,10,95.34,,300,,,2834,
-18.083787113428116,30880,0.09,-95.66,0.9113359972834587,10,95.75,-0.4689952773042023,304,0.0001,0.4250678460812196,3006,960
,31616,0.08,-96.39,,10,96.47,,308,,,3019,
,31840,0.08,-96.39,,10,96.47,,312,,,3023,
,32000,0.09,-95.76,,10,95.85,,316,,,3026,
,32000,0.09,-95.76,,10,95.85,,320,,,3026,
,32000,0.09,-95.76,,10,95.85,,324,,,3026,
,32544,0.1,-95.46,,10,95.56,,328,,,3036,
-17.938401639461517,33536,0.11,-94.95,0.9055210631340742,10,95.06,-0.5012113773263991,332,0.0001,0.33503895648755133,3216,1024
,33632,0.12,-94.49,,10,94.61,,336,,,3218,
,34400,0.11,-94.75,,10,94.86,,340,,,3231,
-17.806873232126236,34912,0.11,-94.75,0.8997435569763184,10,94.86,-0.5335310632362962,344,0.0001,0.33963078481610864,3402,1088
,35200,0.11,-94.75,,10,94.86,,348,,,3409,
,35200,0.11,-94.75,,10,94.86,,352,,,3409,
,35200,0.11,-94.75,,10,94.86,,356,,,3409,
,35744,0.1,-95.12,,10,95.22,,360,,,3418,
,36736,0.09,-95.72,,10,95.81,,364,,,3434,
,36832,0.09,-95.72,,10,95.81,,368,,,3436,
-17.706642508506775,37600,0.07,-96.47,0.8940030569210649,10,96.54,-0.5659040166065097,372,0.0001,0.3095772477099672,3613,1152
,38016,0.08,-95.85,,10,95.93,,376,,,3620,
,38368,0.07,-96.4,,10,96.47,,380,,,3627,
,38400,0.07,-96.4,,10,96.47,,384,,,3628,
,38400,0.07,-96.4,,10,96.47,,388,,,3628,
,38784,0.07,-96.4,,10,96.47,,392,,,3634,
-17.618840396404266,39936,0.06,-96.95,0.8882993664592505,10,97.01,-0.5981827806681395,396,0.0001,0.29089795716572553,3818,1216
,40032,0.05,-97.48,,10,97.53,,400,,,3820,
,40672,0.06,-96.88,,10,96.94,,404,,,3831,
-17.472243428230286,41216,0.06,-96.88,0.8826321372762322,10,96.94,-0.6305397460237145,408,0.0001,0.31691711815074086,4003,1280
,41440,0.07,-96.11,,10,96.18,,412,,,4007,
,41600,0.06,-96.74,,10,96.8,,416,,,4011,
,41600,0.06,-96.74,,10,96.8,,420,,,4011,
,41728,0.06,-96.74,,10,96.8,,424,,,4014,
,42976,0.05,-97.04,,10,97.09,,428,,,4035,
-17.309264451265335,43232,0.04,-97.55,0.877001085318625,10,97.59,-0.662749145179987,432,0.0001,0.29590699390973896,4203,1344
,43872,0.03,-98.01,,10,98.04,,436,,,4215,
,44416,0.03,-98.01,,10,98.04,,440,,,4225,
,44640,0.03,-98.01,,10,98.04,,444,,,4229,
,44800,0.03,-98.01,,10,98.04,,448,,,4233,
,44800,0.03,-98.01,,10,98.04,,452,,,4233,
,44928,0.03,-98.01,,10,98.04,,456,,,4235,
-17.1571144759655,46176,0.03,-98.01,0.8714063139632344,10,98.04,-0.6951958937570453,460,0.0001,0.34072835044935346,4421,1408
,46432,0.03,-98.01,,10,98.04,,464,,,4425,
,46656,0.05,-97.52,,10,97.57,,468,,,4429,
-17.15746718645096,47488,0.05,-97.52,0.8658467158675194,10,97.57,-0.7275269096717238,472,0.0001,0.44028655905276537,4606,1472
,47808,0.05,-97.55,,10,97.6,,476,,,4612,
,48000,0.05,-97.55,,10,97.6,,480,,,4615,
,48000,0.05,-97.55,,10,97.6,,484,,,4615,
,48000,0.05,-97.55,,10,97.6,,488,,,4615,
-17.20028445124626,49248,0.05,-97.55,0.8603220796212554,10,97.6,-0.7599973240867257,492,0.0001,0.41723931836895645,4800,1536
,49632,0.05,-97.55,,10,97.6,,496,,,4807,
,49856,0.05,-97.55,,10,97.6,,500,,,4811,
,50688,0.04,-98.15,,10,98.19,,504,,,4827,
,50912,0.05,-97.52,,10,97.57,,508,,,4831,
,51168,0.04,-98.29,,10,98.33,,512,,,4835,
,51200,0.04,-98.29,,10,98.33,,516,,,4836,
,51200,0.04,-98.29,,10,98.33,,520,,,4836,
-16.96408462524414,51584,0.04,-98.29,0.8548322673887014,10,98.33,-0.7922557415440679,524,0.0001,0.28777177876327187,5005,1600
,52832,0.04,-98.29,,10,98.33,,528,,,5027,
,53056,0.04,-98.29,,10,98.33,,532,,,5031,
-16.72782275080681,53728,0.05,-97.98,0.849377803504467,10,98.03,-0.8246346330270171,536,0.0001,0.26333358720876276,5204,1664
,54048,0.06,-97.28,,10,97.34,,540,,,5210,
,54208,0.06,-97.28,,10,97.34,,544,,,5213,
,54400,0.06,-97.28,,10,97.34,,548,,,5217,
,54400,0.06,-97.28,,10,97.34,,552,,,5217,
,54656,0.06,-97.28,,10,97.34,,556,,,5223,
-16.503636986017227,55776,0.07,-96.68,0.8439583955332637,10,96.75,-0.8569796178489923,560,0.0001,0.2600203665206209,5401,1728
,56032,0.08,-96.34,,10,96.42,,564,,,5405,
,56288,0.07,-96.37,,10,96.44,,568,,,5410,
,56928,0.08,-96.2,,10,96.28,,572,,,5421,
-16.267208248376846,57408,0.07,-96.79,0.8385737277567387,10,96.86,-0.8889758717268705,576,0.0001,0.25734238931909204,5592,1792
,57600,0.07,-96.79,,10,96.86,,580,,,5597,
,57600,0.07,-96.79,,10,96.86,,584,,,5597,
,57856,0.07,-96.79,,10,96.86,,588,,,5602,
,58976,0.07,-96.77,,10,96.84,,592,,,5621,
,59232,0.07,-96.77,,10,96.84,,596,,,5625,
-16.02350252866745,59488,0.07,-96.77,0.8332245294004679,10,96.84,-0.921486446633935,600,0.0001,0.25733040540944785,5792,1856
,60128,0.07,-96.77,,10,96.84,,604,,,5804,
,60512,0.07,-96.69,,10,96.76,,608,,,5811,
,60768,0.07,-96.69,,10,96.76,,612,,,5816,
,60800,0.07,-96.69,,10,96.76,,616,,,5817,
,60928,0.08,-96.0,,10,96.08,,620,,,5819,
-15.802152290940285,61696,0.08,-96.0,0.8279092032462358,10,96.08,-0.9536509057506919,624,0.0001,0.2176220869878307,5994,1920
,62368,0.09,-95.51,,10,95.6,,628,,,6006,
,62560,0.1,-95.11,,10,95.21,,632,,,6010,
,63040,0.09,-95.42,,10,95.51,,636,,,6018,
-15.587543338537216,63584,0.08,-96.12,0.8226279588416219,10,96.2,-0.9861187851056457,640,0.0001,0.21389536699280143,6188,1984
,63968,0.09,-95.67,,10,95.76,,644,,,6195,
,64000,0.09,-95.67,,10,95.76,,648,,,6196,
,64000,0.09,-95.67,,10,95.76,,652,,,6196,
,64384,0.09,-95.67,,10,95.76,,656,,,6204,
,65440,0.09,-95.71,,10,95.8,,660,,,6222,
-15.354569494724274,65760,0.07,-96.51,0.8173796841874719,10,96.58,-1.018600968644023,664,0.0001,0.21720894565805793,6389,2048
,65888,0.07,-96.51,,10,96.58,,668,,,6392,
,66592,0.06,-96.68,,10,96.74,,672,,,6404,
,67008,0.06,-96.62,,10,96.68,,676,,,6411,
,67200,0.06,-96.62,,10,96.68,,680,,,6415,
,67200,0.06,-96.62,,10,96.68,,684,,,6415,
,67584,0.07,-96.3,,10,96.37,,688,,,6421,
-15.133065178990364,68640,0.07,-96.32,0.8121643541380763,10,96.39,-1.0507840272039175,692,0.0001,0.2242971071973443,6602,2112
,68832,0.08,-96.19,,10,96.27,,696,,,6605,
,69056,0.08,-96.19,,10,96.27,,700,,,6610,
-14.924873009324074,69792,0.08,-96.19,0.8069831244647503,10,96.27,-1.0830941628664732,704,0.0001,0.2346099445130676,6784,2176
,70208,0.07,-96.9,,10,96.97,,708,,,6791,
,70400,0.07,-96.9,,10,96.97,,712,,,6795,
,70400,0.07,-96.9,,10,96.97,,716,,,6795,
,70656,0.07,-97.15,,10,97.22,,720,,,6799,
,71648,0.07,-97.15,,10,97.22,,724,,,6816,
-14.715399071574211,72032,0.06,-97.64,0.8018349492922425,10,97.7,-1.1151686385273933,728,0.0001,0.18962739151902497,6985,2240
