time/fps,time/total_timesteps,train/ent_coef,rollout/success_rate,train/critic_loss,rollout/ep_len_mean,train/actor_loss,train/learning_rate,time/episodes,train/ent_coef_loss,train/n_updates,time/time_elapsed,rollout/ep_rew_mean
32,3200,0.9968444062396884,0.03125,0.216539885266684,98.5625,-4.598057743161917,0.0001,4,-0.015964091451223794,64,97,-98.53125
32,3200,,0.03125,,98.5625,,,8,,,97,-98.53125
32,3200,,0.03125,,98.5625,,,12,,,97,-98.53125
32,3200,,0.03125,,98.5625,,,16,,,97,-98.53125
32,3200,,0.03125,,98.5625,,,20,,,97,-98.53125
32,3200,,0.03125,,98.5625,,,24,,,97,-98.53125
32,3200,,0.03125,,98.5625,,,28,,,97,-98.53125
32,3200,,0.03125,,98.5625,,,32,,,97,-98.53125
28,6400,0.9841381032019854,0.046875,0.1397617048351094,97.53125,-9.189766809344292,0.0001,36,-0.08074018219485879,192,222,-97.484375
28,6400,,0.046875,,97.53125,,,40,,,222,-97.484375
28,6400,,0.046875,,97.53125,,,44,,,222,-97.484375
28,6400,,0.046875,,97.53125,,,48,,,222,-97.484375
28,6400,,0.046875,,97.53125,,,52,,,222,-97.484375
28,6400,,0.046875,,97.53125,,,56,,,222,-97.484375
28,6400,,0.046875,,97.53125,,,60,,,222,-97.484375
28,6400,,0.046875,,97.53125,,,64,,,222,-97.484375
31,8128,,0.07352941176470588,,96.33823529411765,,,68,,,260,-96.26470588235294
30,9600,0.9778541857376695,0.05154639175257732,0.14240597991738468,97.43298969072166,-10.927987083792686,0.0001,72,-0.1131124331150204,256,318,-97.38144329896907
30,9600,,0.05154639175257732,,97.43298969072166,,,76,,,318,-97.38144329896907
30,9600,,0.05154639175257732,,97.43298969072166,,,80,,,318,-97.38144329896907
30,9600,,0.05154639175257732,,97.43298969072166,,,84,,,318,-97.38144329896907
30,9600,,0.05154639175257732,,97.43298969072166,,,88,,,318,-97.38144329896907
30,9600,,0.05154639175257732,,97.43298969072166,,,92,,,318,-97.38144329896907
30,9600,,0.05154639175257732,,97.43298969072166,,,96,,,318,-97.38144329896907
29,11296,0.9716103170067072,0.06,0.16211680916603655,97.04,-12.377139031887054,0.0001,100,-0.14549281471408904,320,383,-96.98
28,12800,0.9654074963182211,0.05,0.18890430789906532,97.5,-13.563853114843369,0.0001,104,-0.1778133127372712,384,444,-97.45
28,12800,,0.05,,97.5,,,108,,,444,-97.45
28,12800,,0.05,,97.5,,,112,,,444,-97.45
28,12800,,0.05,,97.5,,,116,,,444,-97.45
28,12800,,0.05,,97.5,,,120,,,444,-97.45
28,12800,,0.05,,97.5,,,124,,,444,-97.45
28,12800,,0.05,,97.5,,,128,,,444,-97.45
28,14496,0.9592458000406623,0.05,0.16219554014969617,97.5,-14.536499321460724,0.0001,132,-0.21013794164173305,448,508,-97.45
29,15744,,0.06,,97.65,,,136,,,533,-97.59
29,16000,,0.06,,97.65,,,140,,,538,-97.59
29,16000,,0.06,,97.65,,,144,,,538,-97.59
29,16000,,0.06,,97.65,,,148,,,538,-97.59
