train/learning_rate,train/ent_coef_loss,rollout/ep_len_mean,time/fps,time/total_timesteps,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate,train/critic_loss,train/ent_coef
0.0001,-0.015962009523718734,98.53125,14,3200,64,213,4,-98.5,-4.262870758771896,0.03125,0.48387798736803234,0.9968456961214542
,,98.53125,14,3200,,213,8,-98.5,,0.03125,,
,,98.53125,14,3200,,213,12,-98.5,,0.03125,,
,,98.53125,14,3200,,213,16,-98.5,,0.03125,,
,,98.53125,14,3200,,213,20,-98.5,,0.03125,,
,,98.53125,14,3200,,213,24,-98.5,,0.03125,,
,,98.53125,14,3200,,213,28,-98.5,,0.03125,,
,,98.53125,14,3200,,213,32,-98.5,,0.03125,,
0.0001,-0.08073749055620283,96.75,10,6272,192,619,36,-96.69444444444444,-9.28883844614029,0.05555555555555555,0.1712010116316378,0.9841414503753185
,,98.171875,10,6400,,621,40,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,44,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,48,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,52,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,56,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,60,-98.140625,,0.03125,,
,,98.171875,10,6400,,621,64,-98.140625,,0.03125,,
0.0001,-0.11309532087761909,97.07352941176471,9,8416,256,857,68,-97.01470588235294,-11.574331194162369,0.058823529411764705,0.317815363407135,0.9778583152219653
,,97.57291666666667,10,9600,,881,72,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,76,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,80,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,84,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,88,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,92,-97.52083333333333,,0.052083333333333336,,
,,97.57291666666667,10,9600,,881,96,-97.52083333333333,,0.052083333333333336,,
0.0001,-0.1454189617652446,96.08,10,11232,320,1120,100,-96.0,-13.427475288510323,0.08,0.22399213328026235,0.9716164255514741
,,96.15,10,11616,,1129,104,-96.07,,0.08,,
0.0001,-0.1777394413948059,95.97,9,12736,384,1356,108,-95.88,-14.206912979483604,0.09,0.9053424531593919,0.9654159434139729
,,95.97,9,12800,,1358,112,-95.88,,0.09,,
,,95.97,9,12800,,1358,116,-95.88,,0.09,,
,,95.97,9,12800,,1358,120,-95.88,,0.09,,
,,95.97,9,12800,,1358,124,-95.88,,0.09,,
,,95.97,9,12800,,1358,128,-95.88,,0.09,,
,,95.42,10,14240,,1381,132,-95.32,,0.1,,
0.0001,-0.21009536110796034,95.63,9,14560,448,1589,136,-95.53,-15.310014203190804,0.1,0.44674801430664957,0.959254858084023
,,94.93,9,15488,,1607,140,-94.82,,0.11,,
,,94.78,9,15936,,1616,144,-94.66,,0.12,,
,,94.78,9,16000,,1618,148,-94.66,,0.12,,
,,94.78,9,16000,,1618,152,-94.66,,0.12,,
,,94.78,9,16000,,1618,156,-94.66,,0.12,,
,,94.78,9,16000,,1618,160,-94.66,,0.12,,
0.0001,-0.24242595885880291,94.78,9,17312,512,1849,164,-94.66,-16.4673510491848,0.12,0.35188607475720346,0.95313361287117
,,95.08,9,17696,,1857,168,-94.97,,0.11,,
0.0001,-0.2747913426719606,95.42,8,18592,576,2078,172,-95.32,-16.90338209271431,0.1,0.32466927205678076,0.9470512866973877
,,95.42,9,19072,,2088,176,-95.32,,0.1,,
,,95.42,9,19200,,2090,180,-95.32,,0.1,,
,,95.42,9,19200,,2090,184,-95.32,,0.1,,
,,95.42,9,19200,,2090,188,-95.32,,0.1,,
,,95.42,9,19200,,2090,192,-95.32,,0.1,,
,,94.82,9,20480,,2109,196,-94.71,,0.11,,
0.0001,-0.30708425818011165,96.41,8,20832,640,2320,200,-96.33,-17.23457831144333,0.08,0.2868184968829155,0.9410076746717095
,,96.81,9,21216,,2328,204,-96.74,,0.07,,
,,96.99,9,22240,,2349,208,-96.93,,0.06,,
,,96.99,9,22400,,2352,212,-96.93,,0.06,,
,,96.99,9,22400,,2352,216,-96.93,,0.06,,
,,96.99,9,22400,,2352,220,-96.93,,0.06,,
,,96.99,9,22400,,2352,224,-96.93,,0.06,,
0.0001,-0.3394805509597063,96.99,9,23680,704,2580,228,-96.93,-17.488522469997406,0.06,0.2913289862917736,0.9350032107904553
,,97.54,9,24032,,2589,232,-97.49,,0.05,,
,,97.4,9,24320,,2596,236,-97.35,,0.05,,
0.0001,-0.3717717411927879,97.93,8,25088,768,2811,240,-97.88,-17.666474908590317,0.05,0.2723815842764452,0.9290362447500229
,,97.02,9,25472,,2819,244,-96.96,,0.06,,
,,97.01,9,25600,,2822,248,-96.95,,0.06,,
,,97.01,9,25600,,2822,252,-96.95,,0.06,,
,,97.01,9,25600,,2822,256,-96.95,,0.06,,
,,97.01,9,25600,,2822,260,-96.95,,0.06,,
0.0001,-0.40408446500077844,97.01,8,27136,832,3052,264,-96.95,-17.768447637557983,0.06,0.3375873127952218,0.9231088301166892
,,96.55,8,27296,,3058,268,-96.48,,0.07,,
,,96.3,9,27936,,3072,272,-96.22,,0.08,,
,,96.3,9,28320,,3080,276,-96.22,,0.08,,
,,96.3,9,28672,,3088,280,-96.22,,0.08,,
0.0001,-0.43643149035051465,96.3,8,28800,896,3297,284,-96.22,-17.829602152109146,0.08,0.32776895666029304,0.9172190614044666
,,96.3,8,28800,,3297,288,-96.22,,0.08,,
,,96.3,8,28800,,3297,292,-96.22,,0.08,,
,,96.9,9,30336,,3325,296,-96.83,,0.07,,
,,96.9,9,30496,,3329,300,-96.83,,0.07,,
0.0001,-0.46871057292446494,96.48,8,30816,960,3537,304,-96.4,-17.846202105283737,0.08,0.3370011765509844,0.9113666927441955
,,96.48,8,31488,,3550,308,-96.4,,0.08,,
,,95.84,8,31840,,3556,312,-95.75,,0.09,,
,,95.84,8,32000,,3561,316,-95.75,,0.09,,
,,95.84,8,32000,,3561,320,-95.75,,0.09,,
,,95.84,8,32000,,3561,324,-95.75,,0.09,,
0.0001,-0.5009788796305656,95.39,8,33280,1024,3788,328,-95.29,-17.807472378015518,0.1,0.2877456210553646,0.9055528752505779
,,94.25,8,33536,,3795,332,-94.13,,0.12,,
,,94.88,8,33760,,3801,336,-94.77,,0.11,,
,,95.05,9,34336,,3813,340,-94.95,,0.1,,
,,95.56,9,34784,,3823,344,-95.47,,0.09,,
0.0001,-0.5333683816716075,96.12,8,35072,1088,4035,348,-96.04,-17.74974900484085,0.08,0.3344217105768621,0.8997759148478508
,,96.12,8,35200,,4037,352,-96.04,,0.08,,
,,96.12,8,35200,,4037,356,-96.04,,0.08,,
,,96.12,8,36480,,4057,360,-96.04,,0.08,,
,,96.12,9,36736,,4064,364,-96.04,,0.08,,
0.0001,-0.5656929239630699,97.1,8,36960,1152,4271,368,-97.04,-17.64487898349762,0.06,0.38329062168486416,0.8940352499485016
,,97.35,8,37536,,4282,372,-97.3,,0.05,,
,,97.35,8,37984,,4290,376,-97.3,,0.05,,
,,96.79,8,38272,,4295,380,-96.73,,0.06,,
,,96.79,8,38400,,4299,384,-96.73,,0.06,,
,,96.79,8,38400,,4299,388,-96.73,,0.06,,
0.0001,-0.5980945117771626,96.59,8,39648,1216,4527,392,-96.53,-17.579275459051132,0.06,0.3155113994143903,0.8883311729878187
,,96.59,8,39712,,4529,396,-96.53,,0.06,,
,,96.16,8,40064,,4538,400,-96.09,,0.07,,
,,96.58,8,40416,,4546,404,-96.52,,0.06,,
0.0001,-0.6303668674081564,96.32,8,41056,1280,4763,408,-96.25,-17.45217800140381,0.07,0.3260959406616166,0.8826631838455796
,,96.96,8,41440,,4772,412,-96.9,,0.06,,
,,96.96,8,41600,,4775,416,-96.9,,0.06,,
,,96.96,8,41600,,4775,420,-96.9,,0.06,,
,,96.54,8,42592,,4790,424,-96.47,,0.07,,
,,96.99,8,42912,,4796,428,-96.93,,0.06,,
