time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,time/fps,train/learning_rate,train/critic_loss,train/n_updates,rollout/success_rate,train/actor_loss,rollout/ep_len_mean,train/ent_coef
4,-98.34375,103,3200,-0.01590189409762388,30,0.0001,0.6278600501827896,64,0.03125,-4.32987791672349,98.375,0.9968558130785823
8,-98.34375,103,3200,,30,,,,0.03125,,98.375,
12,-98.34375,103,3200,,30,,,,0.03125,,98.375,
16,-98.34375,103,3200,,30,,,,0.03125,,98.375,
20,-98.34375,103,3200,,30,,,,0.03125,,98.375,
24,-98.34375,103,3200,,30,,,,0.03125,,98.375,
28,-98.34375,103,3200,,30,,,,0.03125,,98.375,
32,-98.34375,103,3200,,30,,,,0.03125,,98.375,
36,-96.80555555555556,259,6336,-0.08107255795039237,24,0.0001,0.13533391954842955,192,0.05555555555555555,-8.782113410532475,96.86111111111111,0.9840777581557631
40,-98.203125,260,6400,,24,,,,0.03125,,98.234375,
44,-98.203125,260,6400,,24,,,,0.03125,,98.234375,
48,-98.203125,260,6400,,24,,,,0.03125,,98.234375,
52,-98.203125,260,6400,,24,,,,0.03125,,98.234375,
56,-98.203125,260,6400,,24,,,,0.03125,,98.234375,
60,-98.203125,260,6400,,24,,,,0.03125,,98.234375,
64,-98.203125,260,6400,,24,,,,0.03125,,98.234375,
68,-97.44117647058823,354,9184,-0.11349811044055969,25,0.0001,0.14336792437825352,256,0.04411764705882353,-10.51677206158638,97.48529411764706,0.9777788678184152
72,-98.10416666666667,363,9600,,26,,,,0.03125,,98.13541666666667,
76,-98.10416666666667,363,9600,,26,,,,0.03125,,98.13541666666667,
80,-98.10416666666667,363,9600,,26,,,,0.03125,,98.13541666666667,
84,-98.10416666666667,363,9600,,26,,,,0.03125,,98.13541666666667,
88,-98.10416666666667,363,9600,,26,,,,0.03125,,98.13541666666667,
92,-98.10416666666667,363,9600,,26,,,,0.03125,,98.13541666666667,
96,-98.10416666666667,363,9600,,26,,,,0.03125,,98.13541666666667,
100,-97.72,440,11360,-0.14592236140742898,25,0.0001,0.15022518148180097,320,0.04,-12.091864749789238,97.76,0.971525683067739
104,-97.63,507,12544,-0.17827742476947606,24,0.0001,0.24394987418781966,384,0.05,-13.346388712525368,97.68,0.9653159193694592
108,-97.63,512,12800,,24,,,,0.05,,97.68,
112,-97.63,512,12800,,24,,,,0.05,,97.68,
116,-97.63,512,12800,,24,,,,0.05,,97.68,
120,-97.63,512,12800,,24,,,,0.05,,97.68,
124,-97.63,512,12800,,24,,,,0.05,,97.68,
128,-97.63,512,12800,,24,,,,0.05,,97.68,
132,-97.63,591,14560,-0.2106761336326599,24,0.0001,0.20523478067480028,448,0.05,-14.375939205288887,97.68,0.9591489164158702
136,-97.95,609,15584,,25,,,,0.05,,98.0,
140,-97.35,615,15936,,25,,,,0.06,,97.41,
144,-97.35,617,16000,,25,,,,0.06,,97.41,
148,-97.35,617,16000,,25,,,,0.06,,97.41,
152,-97.35,617,16000,,25,,,,0.06,,97.41,
156,-97.35,617,16000,,25,,,,0.06,,97.41,
160,-97.35,617,16000,,25,,,,0.06,,97.41,
164,-96.74,697,17600,-0.24306640261784196,25,0.0001,0.22371020389255136,512,0.07,-15.11916670203209,96.81,0.9530218932777643
168,-96.99,757,18496,-0.2753651482053101,24,0.0001,0.2679321193136275,576,0.07,-15.746907219290733,97.06,0.9469348881393671
172,-96.92,767,19008,,24,,,,0.08,,97.0,
176,-96.92,771,19200,,24,,,,0.08,,97.0,
180,-96.92,771,19200,,24,,,,0.08,,97.0,
184,-96.92,771,19200,,24,,,,0.08,,97.0,
188,-96.92,771,19200,,24,,,,0.08,,97.0,
192,-96.92,771,19200,,24,,,,0.08,,97.0,
196,-96.92,843,20800,-0.30777137028053403,24,0.0001,0.2741699634352699,640,0.08,-16.241273000836372,97.0,0.9408886954188347
200,-96.5,852,21344,,25,,,,0.09,,96.59,
204,-96.82,864,21952,,25,,,,0.08,,96.9,
208,-96.82,870,22272,,25,,,,0.08,,96.9,
212,-96.82,873,22400,,25,,,,0.08,,96.9,
216,-96.82,873,22400,,25,,,,0.08,,96.9,
220,-96.82,873,22400,,25,,,,0.08,,96.9,
224,-96.82,873,22400,,25,,,,0.08,,96.9,
