time/total_timesteps,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/learning_rate,rollout/success_rate,time/time_elapsed,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss
3200,4,98.375,0.2019467946374789,-98.34375,64,0.0001,0.03125,109,29,0.9968471527099609,-4.4326308853924274,-0.015950989440170815
3200,8,98.375,,-98.34375,,,0.03125,109,29,,,
3200,12,98.375,,-98.34375,,,0.03125,109,29,,,
3200,16,98.375,,-98.34375,,,0.03125,109,29,,,
3200,20,98.375,,-98.34375,,,0.03125,109,29,,,
3200,24,98.375,,-98.34375,,,0.03125,109,29,,,
3200,28,98.375,,-98.34375,,,0.03125,109,29,,,
3200,32,98.375,,-98.34375,,,0.03125,109,29,,,
4928,36,92.61111111111111,0.11997292062733322,-92.47222222222223,128,0.0001,0.1388888888888889,190,25,0.9904729928821325,-6.821403235197067,-0.04835108161205426
6400,40,94.61538461538461,0.1812184687005356,-94.50769230769231,192,0.0001,0.1076923076923077,270,23,0.9841468585655093,-8.832144632935524,-0.08070968766696751
6400,44,94.61538461538461,,-94.50769230769231,,,0.1076923076923077,270,23,,,
6400,48,94.61538461538461,,-94.50769230769231,,,0.1076923076923077,270,23,,,
6400,52,94.61538461538461,,-94.50769230769231,,,0.1076923076923077,270,23,,,
6400,56,94.61538461538461,,-94.50769230769231,,,0.1076923076923077,270,23,,,
6400,60,94.61538461538461,,-94.50769230769231,,,0.1076923076923077,270,23,,,
6400,64,94.61538461538461,,-94.50769230769231,,,0.1076923076923077,270,23,,,
7744,68,94.08823529411765,,-93.97058823529412,,,0.11764705882352941,292,26,,,
8224,72,92.45205479452055,0.21373117400798947,-92.3013698630137,256,0.0001,0.1506849315068493,347,23,0.9778637224808335,-10.56719346344471,-0.11307173629757017
9600,76,94.31958762886597,,-94.20618556701031,,,0.1134020618556701,372,25,,,
9600,80,94.31958762886597,,-94.20618556701031,,,0.1134020618556701,372,25,,,
9600,84,94.31958762886597,,-94.20618556701031,,,0.1134020618556701,372,25,,,
9600,88,94.31958762886597,,-94.20618556701031,,,0.1134020618556701,372,25,,,
9600,92,94.31958762886597,,-94.20618556701031,,,0.1134020618556701,372,25,,,
9600,96,94.31958762886597,,-94.20618556701031,,,0.1134020618556701,372,25,,,
10912,100,93.9,0.22624463390093297,-93.78,320,0.0001,0.12,451,24,0.9716215236112475,-12.008627831935883,-0.14541388140060008
11232,104,93.93,,-93.81,,,0.12,457,24,,,
12640,108,93.31,0.2791222487576306,-93.18,384,0.0001,0.13,529,23,0.9654198307543993,-13.20069332420826,-0.1777625277172774
12800,112,93.31,,-93.18,,,0.13,533,23,,,
12800,116,93.31,,-93.18,,,0.13,533,23,,,
12800,120,93.31,,-93.18,,,0.13,533,23,,,
12800,124,93.31,,-93.18,,,0.13,533,23,,,
12800,128,93.31,,-93.18,,,0.13,533,23,,,
14016,132,92.69,,-92.55,,,0.14,553,25,,,
14144,136,94.71,,-94.61,,,0.1,555,25,,,
