rollout/success_rate,train/ent_coef,time/total_timesteps,train/learning_rate,train/ent_coef_loss,time/fps,rollout/ep_len_mean,train/n_updates,time/episodes,train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss
0.0625,0.9968501925468445,3200,0.0001,-0.015941060961267794,34,97.03125,64,4,0.2580104505177587,-96.96875,94,-4.5847028195858
0.0625,,3200,,,34,97.03125,,8,,-96.96875,94,
0.0625,,3200,,,34,97.03125,,12,,-96.96875,94,
0.0625,,3200,,,34,97.03125,,16,,-96.96875,94,
0.0625,,3200,,,34,97.03125,,20,,-96.96875,94,
0.0625,,3200,,,34,97.03125,,24,,-96.96875,94,
0.0625,,3200,,,34,97.03125,,28,,-96.96875,94,
0.0625,,3200,,,34,97.03125,,32,,-96.96875,94,
0.03125,0.984157937578857,6400,0.0001,-0.0806614876491949,29,98.515625,192,36,0.13839997327886522,-98.484375,215,-9.117199093103409
0.03125,,6400,,,29,98.515625,,40,,-98.484375,215,
0.03125,,6400,,,29,98.515625,,44,,-98.484375,215,
0.03125,,6400,,,29,98.515625,,48,,-98.484375,215,
0.03125,,6400,,,29,98.515625,,52,,-98.484375,215,
0.03125,,6400,,,29,98.515625,,56,,-98.484375,215,
0.03125,,6400,,,29,98.515625,,60,,-98.484375,215,
0.03125,,6400,,,29,98.515625,,64,,-98.484375,215,
0.058823529411764705,,8160,,,32,97.07352941176471,,68,,-97.01470588235294,250,
0.07291666666666667,0.9778761621564627,9600,0.0001,-0.11299620592035353,31,97.22916666666667,256,72,0.14620119438041002,-97.15625,309,-10.883659422397614
0.07291666666666667,,9600,,,31,97.22916666666667,,76,,-97.15625,309,
0.07291666666666667,,9600,,,31,97.22916666666667,,80,,-97.15625,309,
0.07291666666666667,,9600,,,31,97.22916666666667,,84,,-97.15625,309,
0.07291666666666667,,9600,,,31,97.22916666666667,,88,,-97.15625,309,
0.07291666666666667,,9600,,,31,97.22916666666667,,92,,-97.15625,309,
0.07291666666666667,,9600,,,31,97.22916666666667,,96,,-97.15625,309,
0.1,0.9716356098651886,11104,0.0001,-0.1453352002426982,30,95.58,320,100,0.18056667444761842,-95.48,368,-12.335934519767761
0.08,,11488,,,30,96.53,,104,,-96.45,377,
0.08,0.9654347766190767,12800,0.0001,-0.17767129582352936,29,96.53,384,108,0.27176106406841427,-96.45,432,-13.517218828201294
0.08,,12800,,,29,96.53,,112,,-96.45,432,
0.08,,12800,,,29,96.53,,116,,-96.45,432,
0.08,,12800,,,29,96.53,,120,,-96.45,432,
0.08,,12800,,,29,96.53,,124,,-96.45,432,
0.08,,12800,,,29,96.53,,128,,-96.45,432,
0.09,,14144,,,30,95.95,,132,,-95.86,459,
0.1,0.9592743534594774,14496,0.0001,-0.21001253626309335,29,95.48,448,136,0.2383205748628825,-95.38,496,-14.489077359437943
0.11,,15328,,,29,95.06,,140,,-94.95,513,
0.12,,16000,,,30,95.06,,144,,-94.94,527,
0.12,,16000,,,30,95.06,,148,,-94.94,527,
0.12,,16000,,,30,95.06,,152,,-94.94,527,
0.12,,16000,,,30,95.06,,156,,-94.94,527,
0.12,,16000,,,30,95.06,,160,,-94.94,527,
0.13,0.9531534584239125,17312,0.0001,-0.24230468878522515,29,94.45,512,164,0.2657043330837041,-94.32,583,-15.264754667878151
0.1,,17696,,,29,95.9,,168,,-95.8,591,
0.08,,17888,,,30,96.16,,172,,-96.08,596,
0.08,0.9470720458775759,19200,0.0001,-0.27468355745077133,29,96.16,576,176,0.25228864524979144,-96.08,651,-15.908455088734627
0.08,,19200,,,29,96.16,,180,,-96.08,651,
0.08,,19200,,,29,96.16,,184,,-96.08,651,
0.08,,19200,,,29,96.16,,188,,-96.08,651,
0.08,,19200,,,29,96.16,,192,,-96.08,651,
0.08,0.9410285409539938,20512,0.0001,-0.30701763508841395,28,96.03,640,196,0.31811421923339367,-95.95,707,-16.41725730895996
0.05,,20896,,,29,97.79,,200,,-97.74,715,
0.05,,21088,,,29,97.79,,204,,-97.74,720,
0.06,,22400,,,30,97.18,,208,,-97.12,746,
0.06,,22400,,,30,97.18,,212,,-97.12,746,
0.06,,22400,,,30,97.18,,216,,-97.12,746,
0.06,,22400,,,30,97.18,,220,,-97.12,746,
0.06,,22400,,,30,97.18,,224,,-97.12,746,
0.06,0.9350248547270894,23648,0.0001,-0.33927369909361005,29,97.18,704,228,0.2823858067858964,-97.12,800,-16.789225459098816
0.05,,24064,,,29,97.76,,232,,-97.71,809,
0.04,,24256,,,29,98.23,,236,,-98.19,814,
0.02,0.929059705697,25600,0.0001,-0.371631839312613,29,98.65,768,240,0.2311423581559211,-98.63,870,-17.091812670230865
0.02,,25600,,,29,98.65,,244,,-98.63,870,
0.02,,25600,,,29,98.65,,248,,-98.63,870,
0.02,,25600,,,29,98.65,,252,,-98.63,870,
0.02,,25600,,,29,98.65,,256,,-98.63,870,
0.02,0.9231322156265378,26848,0.0001,-0.4039206434972584,29,98.65,832,260,0.2559217856032774,-98.63,925,-17.307582557201385
0.01,,27264,,,29,99.26,,264,,-99.25,934,
0.01,,27456,,,29,99.26,,268,,-99.25,939,
0.03,0.9172426853328943,28736,0.0001,-0.43632639991119504,28,98.81,896,272,1.7625545598566532,-98.78,994,-17.30765202641487
0.03,,28800,,,28,98.81,,276,,-98.78,996,
0.03,,28800,,,28,98.81,,280,,-98.78,996,
0.03,,28800,,,28,98.81,,284,,-98.78,996,
0.03,,28800,,,28,98.81,,288,,-98.78,996,
0.03,,30048,,,29,98.81,,292,,-98.78,1021,
0.03,,30464,,,29,98.94,,296,,-98.91,1030,
0.03,,30656,,,29,98.94,,300,,-98.91,1034,
0.05,0.9113904573023319,31296,0.0001,-0.46867552725598216,29,98.47,960,304,0.36210020387079567,-98.42,1078,-16.42273150384426
0.04,,32000,,,29,99.08,,308,,-99.04,1092,
0.04,,32000,,,29,99.08,,312,,-99.04,1092,
0.04,,32000,,,29,99.08,,316,,-99.04,1092,
0.04,,32000,,,29,99.08,,320,,-99.04,1092,
